编号	名称	介绍
id	name	jieshao
1001	阵法	界面操作：##上阵：点击阵位可上阵、更换队员，同时也可调整已上阵队员的装备、忍术##拖动：拖动队员的头像，可以调整已上阵队员的阵位######队员布阵：##布阵：兵无常势，水无常形，布阵方式千变万化，更多玩法等待队长去发掘##阵首：一般来说，防高血高的队员适合阵首位置。阵首可反击，反击概率和速度有关##阵中：一般来说，高力量高精力高速度的队员适合在阵中##阵尾：一般来说，高力量高精力高速度的队员适合在阵尾##阵法分为两个部分，一个排兵布阵，一个是阵法属性加成和升级##排兵布阵：出战人数上限为7人，玩家可以通过布阵界面来安排出战队员的站位##阵位有阵首，阵中，阵尾定义阵法，玩家可以为出战队员装备一个阵法道具，阵法可以对出战队员有属性加成##阵法道具本身可以通过吞噬其他阵法道具来升级######上阵阵法：##获得：可以通过副本、掠夺、保护纲手以及开宝箱等方式获得阵法##属性：阵法种类众多，根据自己的策略选择合适的阵法可以达到事半功倍的效果##升级：可以消耗其他阵法来升级当前阵法，升级后阵法可大幅度提高上阵弟子属性######队员助威：##开启：队伍等级达到相应等级开启小伙伴系统##阵位：系统开启时，首个助威队员位置自动开启，其他位置达到相应的等级后自动开启##附加属性：助威队员的身价，会按照一定百分比，转化成属性，加成到所有上阵队员上。附加属性的品质越高，身价转化率越高。（注：附加属性加成最终属性，不享受其他百分比加成）专属队员：每个位置有一个专属队员，使用该队员助威时，可与上针队员配缘，激活上阵队员的缘分##逆转威势：可使用道具勇者之心，改变助威位置的附加属性和专属队员
1002	队员	界面操作：##切换：左侧的队员可左右滑动，切换到其他队员并查看详情##装备：点击装备可查看、穿戴、更换、打造装备##忍术：点击忍术栏可查看、装备、更换、升级忍术######队员属性：##队员属性：生命：队员的血量。头饰可提供大量生命属性##力量：力量值越高，队员的普通攻击和释放忍术时的伤害越高。武器可提供大量的伤害##精力：当你受到忍术伤害时，精力值越高，化解忍术伤害的几率越大，减少的伤害也越多。同时在决战阶段比拼精力时，精力值越高越占优势。饰品可提供大量精力属性##速度：速度决定战斗中每回合的出手顺序，同时还和反击有关，鞋子可提供大量的速度属性##防御：防御越高，受到普通攻击和力量攻击时的伤害越低，服饰可提供大量的防御属性######附加属性：##命中：命中越高，普通攻击越不易出现闪避##闪避：闪避越高，躲开普通攻击的机会越大##暴击：暴击越高，普通和忍术攻击越易出现暴击##抗暴：抗暴越高，被普通和忍术攻击暴击的概率越低##会心：会心越高，普通和忍术攻击暴击产生的伤害越高######队员修炼：##修炼：每个不同的队员都可以进行修炼，修炼需消耗声望，修炼可使用查克拉丸来增加修炼效果，使用味僧汤和丸子增加修炼的成功率##效果：修炼获得的属性为单独加成，不受其百分比加成的影响
1003	装备	队员可以穿戴装备，装备部分有兵器头饰服饰饰品鞋子5类##玩家可对所有弟子进行穿戴装备的操作，不区弟子分上阵与否和其职业##装备品质：装备分为S、A、B、C四个大品类，同一个大品类下分：凡品、良品、优品、极品、绝品##装备属性：装备可为队员增加生命力量精力速度防御等属性，具体类型由装备配置来决定。属性计算同队员有初始值和成长值##装备缘分：部分队员装备某些装备之后可获得额外属性加成.##装备附属性：附属性由装备大品质（S、A、B、C）决定有几条，附属性无法改变##成长：装备的初始值和成长越高，小品级越高，强化时的增加值也越大
1004	忍术	队员忍术：##品级：忍术有S、A、B、C四种品级，每名弟子除天赋忍术外，最多装备4个忍术##真气：装备每种忍术都要占用一定的真气值，真气会随着队员的等级而增加##类型：忍术分为主动和被动两类，主动任务有单体、横扫、贯穿、溅射、全体几种攻击方式##伤害：主动忍术释放时的伤害和队员的忍术值以及忍术施展时需要运用的属性有关##升级：可以消耗其他忍术来对该忍术进行升级，级别越高，伤害越高
1005	副本	界面操作：##选择：选择相应的关卡，点击“闯”即可进入关卡##消耗：每次闯关消耗一点体力值，不论战斗胜负##次数每个关卡每天有一定的战斗次数，每次战斗消耗一次战斗次数，可使用金币恢复战斗次数######副本相关类：##普通：前一地点普通关卡通关后，可开启下一地点的普通难度关卡，以此类推##高手：某地点普通关卡全部三星后，可开启该关卡高手难度，高手难度会有更好的掉落##宗师：某地点高手难度关卡全部三星后，可开启该关卡的宗师难度，宗师难度关卡有一定几率掉落蓝色紫色装备，忍术，阵法残片##满星：每个地点每个难度关卡都有满星奖励，每个难度所有关卡全部满星后，可食用一乐拉面恢复10点体力
1006	奇遇	奇遇系统系统包括一乐面馆、每日签到、升级奖励、保护纲手、晓之总部、招贤榜、大蛇巢穴等功能
1007	竞技	界面操作：##进入：竞技9级开启，点击主界面竞技按钮即可进入##匹配：竞技界面中的左侧为自己，右侧可上下拖动，下方为匹配对手，每次3名，上方为竞技前10名玩家##刷新：玩家可手动刷新挑战对象，选择要挑战的对手##排名：点击排名按钮，可查看当前竞技的排名######竞技战斗：##等级:竞技战斗胜利可活动竞技经验，提高竞技等级。竞技失败则会扣除部分竞技经验##排名：竞技按照玩家的当前总经验值进行排名，排名越高，每10分钟获得的声望值越多##声望：竞技战斗胜利后可活动声望值，声望值可用在弟子修炼场中，同样，每10分钟也会获得相应排名的声望奖励
1008	打造	装备强化：##效果：强化装备可以提高装备的属性，强化等级越高，花费费用越多##成长：装备强化时，主属性的初始值和成长越高，每次强化的加成越多######装备重铸：##小品级：装备主属性的初始值和成长值越高，其小品级越高。共分为凡、良、优、极、绝5个小品级##重铸：可以使用熔炼石重铸装备，改变其主属性的初始值和成长值######装备重铸：##效果：通过使用“熔炼石”对装备进行重铸，铸链后的装备将于其他装备进行连链接，并获得铸链属性与附加属性##铸链属性：队员佩戴铸链过的装备即可获得该属性，该属性将按百分比效果增加队员的生命值。可使用淬火异形石进行重铸获得更好的效果##附加属性：需队员同时佩戴铸链过的装备与其链接的装备，方可激活。激活后将获得相应的属性。可使用熔炼石进行修正获得更好的效果
1009	修炼	界面操作：##选择：选择修炼，可查看该修炼的内容、修炼效果以及消耗声望值##修炼：选择修炼内容后，需求声望满足时，点击修炼即可开始进行修炼##刷新：当前3个修炼内容都修炼完毕后自动刷新，也可使用修炼牌刷新修炼内容######修炼内容：##普通修炼：增加队员的气血，体术，忍术，幻术，防御等主要属性和命中、闪避、暴击、抗暴、会心等扩展属性##特殊修炼：可以增加队员的特殊属性，例如技能释放概率，技能破坏力等，详见队员修炼界面##修炼属性：所有增加的属性均不受其他百分比属性效果的影响，为独立增加的属性##修炼成功率：随着修炼次数增多，修炼成功率会下降。修炼过的队员每天会自动增长5%成功率，修炼成功率100%则修炼必成功，最多可累计至900%##双倍修炼：使用查克拉丸可达到双倍修炼的效果，修炼得道的属性翻倍######修炼心情值：##心情值将影响队员的修炼状态，心情值越高队员的修炼状态越好。队员每修炼一次将减少一点心情值。##心情值提升：通过使用冻酸奶和冰棍提升队员的修炼心情值。当队员的修炼状态为非天人合一时，需要将状态一次性调整至天人合一的状态。##心情值上限：10000
