物品ID	名称	品质	类型（1.装备；2.技能；3.阵法；4.道具）	数量
id	name	quality	type	number
1400	结界法阵	4	3	1
1401	天盖法阵	4	3	1
1402	四紫炎阵	4	3	1
1403	四赤阳阵	4	3	1
1404	炎狱怃阵	4	3	1
1405	上忍阵	4	3	1
1406	四黑雾阵	4	3	1
1407	万蛇罗之阵	4	3	1
1408	剧蚀流砫阵	4	3	1
1409	潜脑操砂阵	4	3	1
1410	砂铁时雨阵	4	3	1
1411	砂铁结袭阵	4	3	1
1412	砂铁散击阵	4	3	1
1413	砂铁天翼阵	4	3	1
1414	五封结界阵	4	3	1
1415	幻龙九封尽阵	4	3	1
1301	砂铁界法阵	3	3	1
1302	天门阵	3	3	1
1303	术阵	3	3	1
1304	无忍阵	3	3	1
1305	风沙阵	3	3	1
1306	幻影阵	3	3	1
1307	浮影阵	3	3	1
1308	魅影阵	3	3	1
1309	魔尊阵	3	3	1
1310	冷渊阵	3	3	1
1311	赤炎阵	3	3	1
1312	弑魂阵	3	3	1
1313	风影阵	3	3	1
1314	火影阵	3	3	1
1315	水影阵	3	3	1
1316	雷影阵	3	3	1
1317	土影阵	3	3	1
1318	绝忍阵	3	3	1
1201	轮回天生阵	2	3	1
1202	外道魔像阵	2	3	1
1203	火光阵	2	3	1
1204	水月阵	2	3	1
1205	雪影阵	2	3	1
1206	暗影阵	2	3	1
1207	骷髅阵	2	3	1
1208	裂甲阵	2	3	1
1209	泉沼阵	2	3	1
1210	指刻封印阵	2	3	1
1211	封火法印阵	2	3	1
1212	秽土转生阵	2	3	1
1213	风魔阵	2	3	1
1214	潜影蛇手阵	2	3	1
1215	星光七杀阵	2	3	1
1216	万蛇阵	2	3	1
1217	镜天地转阵	2	3	1
1218	加具土命阵	2	3	1
1219	五重罗生门阵	2	3	1
1220	顶上化佛阵	2	3	1
1221	森罗万象阵	2	3	1
1222	蝶弹爆击阵	2	3	1
1223	翠岚烈风阵	2	3	1
1224	狼牙伐锥阵	2	3	1
1225	虫龙卷风阵	2	3	1
1226	金刚召木阵	2	3	1
1227	水龙咬爆阵	2	3	1
1228	硬涡水刃阵	2	3	1
1229	金刚牢壁阵	2	3	1
1230	猿魔之手阵	2	3	1
1231	三方封印阵	2	3	1
1232	死面甲架阵	2	3	1
1233	四象封印阵	2	3	1
1234	八卦封印阵	2	3	1
1235	契约封印阵	2	3	1
1236	尸鬼封尽阵	2	3	1
1237	百豪之印阵	2	3	1
1238	龙卷飓风阵	2	3	1
1239	八门遁甲阵	2	3	1
1100000	木制手里剑	1	1	1
1100001	铁质苦无	1	1	1
1100002	利刃爪	1	1	1
1100003	贪狼爪	1	1	1
1100004	暗影爪	1	1	1
1100005	红莲爪	1	1	1
1100006	流光剑	1	1	1
1100007	断情斩	1	1	1
1100008	流云剑	1	1	1
1100009	鱼骨剑	1	1	1
1200001	竹笛吹矢	2	1	1
1200002	绯流琥	2	1	1
1200003	小太刀	2	1	1
1200004	铜质手里剑	2	1	1
1200005	血腥三月镰	2	1	1
1200006	木质忍杖	2	1	1
1200007	落叶双剑	2	1	1
1200008	中反刀	2	1	1
1200009	胁差刀	2	1	1
1200010	翡翠青玉杖	2	1	1
1300001	通灵卷轴	3	1	1
1300002	长太刀	3	1	1
1300003	起爆符	3	1	1
1300004	长链忍杖	3	1	1
1300005	锁链战锤	3	1	1
1300006	鬼丸刀	3	1	1
1300007	疾风扇	3	1	1
1300008	镰鼬忍杖	3	1	1
1300009	黑曜苦无	3	1	1
1300010	虎彻刀	3	1	1
1300011	岚夜剑	3	1	1
1300012	幻火忍杖	3	1	1
1300013	雨露苦无	3	1	1
1300014	草薙剑	3	1	1
1300015	白银乌鸦	3	1	1
1300016	离魂之斩	3	1	1
1300017	雪龙幽舞	3	1	1
1300018	三池光刀	3	1	1
1300019	鬼舞之殇	3	1	1
1400001	如意棒	4	1	1
1400002	亲热天堂	4	1	1
1400003	名刀黑泽	4	1	1
1400004	断刀·斩首	4	1	1
1400005	大刀·鲛肌	4	1	1
1400006	性质兵器	4	1	1
1400007	不败之刃	4	1	1
1400008	六道勾玉	4	1	1
1400009	十拳剑	4	1	1
1400010	雷神剑	4	1	1
1400011	三星扇	4	1	1
1400012	雷刀·牙	4	1	1
1400013	钝刀·兜割	4	1	1
1500001	长刀·缝针	4	1	1
1500002	爆刀·飞沫	4	1	1
1500003	双刀·平目鲽	4	1	1
1500004	七星剑·咒灵	4	1	1
1500005	芭蕉扇·风暴	4	1	1
1500006	红葫芦·封印	4	1	1
1500007	愰金绳·驱魔	4	1	1
1500008	琥珀瓶·净蚀	4	1	1
1500009	写轮眼团扇	4	1	1
1500010	八咫镜	4	1	1
2100001	束带	1	1	1
2100002	云忍下忍护额	1	1	1
2100003	草忍下忍护额	1	1	1
2100004	泷忍下忍护额	1	1	1
2100005	音忍下忍护额	1	1	1
2100006	雨忍下忍护额	1	1	1
2100007	砂忍下忍护额	1	1	1
2100008	雾忍下忍护额	1	1	1
2100009	岩忍下忍护额	1	1	1
2100010	木叶下忍护额	1	1	1
2200001	泷忍中忍护额	2	1	1
2200002	音忍中忍护额	2	1	1
2200003	雨忍中忍护额	2	1	1
2200004	砂忍中忍护额	2	1	1
2200005	雾忍中忍护额	2	1	1
2200006	岩忍中忍护额	2	1	1
2200007	云忍中忍护额	2	1	1
2200008	木叶中忍护额	2	1	1
2300001	草忍上忍护额	3	1	1
2300002	泷忍上忍护额	3	1	1
2300003	音忍上忍护额	3	1	1
2300004	雨忍上忍护额	3	1	1
2300005	砂忍上忍护额	3	1	1
2300006	雾忍上忍护额	3	1	1
2300007	岩忍上忍护额	3	1	1
2300008	云忍上忍护额	3	1	1
2300009	木叶上忍护额	3	1	1
2300010	雨忍特忍护额	3	1	1
2300011	砂忍特忍护额	3	1	1
2300012	雾忍特忍护额	3	1	1
2300013	岩忍特忍护额	3	1	1
2300014	云忍特忍护额	3	1	1
2300015	木叶特忍护额	3	1	1
2400001	暗部面具	4	1	1
2400002	白的面罩	4	1	1
2400003	三代头盔	4	1	1
2400004	带土面具	4	1	1
2400005	呼吸面罩	4	1	1
2400006	根部面具	4	1	1
2400007	叶丸目镜	4	1	1
2400008	风之影帽	4	1	1
2400009	雷之影帽	4	1	1
2400010	土之影帽	4	1	1
2400011	水之影帽	4	1	1
2400012	火之影帽	4	1	1
2400013	六道头盔	4	1	1
3100001	忍者麻衣	1	1	1
3100002	忍者布衣	1	1	1
3100003	忍者皮衣	1	1	1
3100004	忍者护衣	1	1	1
3100005	忍者神衣	1	1	1
3100006	忍者风衣	1	1	1
3100007	忍者羽衣	1	1	1
3100008	忍者战衣	1	1	1
3100009	忍者宝甲	1	1	1
3100010	忍者勇甲	1	1	1
3200001	忍者武甲	2	1	1
3200002	忍者铠甲	2	1	1
3200003	忍者战甲	2	1	1
3200004	中忍护甲	2	1	1
3200005	中忍破甲	2	1	1
3200006	中忍战甲	2	1	1
3200007	火影斗篷	2	1	1
3200008	中忍忍服	2	1	1
3300001	叛忍风衣	3	1	1
3300002	追忍风衣	3	1	1
3300003	医疗风衣	3	1	1
3300004	暗部风衣	3	1	1
3300005	晓部风衣	3	1	1
3300006	武士风衣	3	1	1
3300007	下忍战衣	3	1	1
3300008	下忍战甲	3	1	1
3300009	上忍战衣	3	1	1
3300010	青春战衣	3	1	1
3300011	藏青忍服	3	1	1
3300012	天诛忍服	3	1	1
3300013	远古战甲	3	1	1
3300014	砂之铠甲	3	1	1
3300015	和风竹铠	3	1	1
3300016	暗夜风衣	3	1	1
3400001	战术背心	4	1	1
3400002	卡卡西战衣	4	1	1
3400003	暗部战衣	4	1	1
3400004	不败战衣	4	1	1
3400005	大将披风	4	1	1
3400006	大名披风	4	1	1
3400007	叶丸童装	4	1	1
3400008	晓的风衣	4	1	1
3400009	九吞八乍甲	4	1	1
3400010	四代披风	4	1	1
3400011	六道风衣	4	1	1
3400012	佐助忍服	4	1	1
3400013	紫金八叉甲	4	1	1
4100001	纸蝴蝶	1	1	1
4100002	狂歌戒	1	1	1
4100003	玉腰坠	1	1	1
4100004	残影戒	1	1	1
4100005	八幡玉佩	1	1	1
4100006	坠星链	1	1	1
4100007	琉璃耳坠	1	1	1
4100008	霜影	1	1	1
4100009	下忍坠	1	1	1
4100010	铃铛	1	1	1
4200001	血忍护手	2	1	1
