成就ID	成就名称	成就描述	成就图标	成就类型	下以成就ID 	完成次数	奖励描述	奖励银币	奖励元宝	经验	声望奖励	开启条件	预留ID
id	name	desc	icon	trackType	xiayiID	param	jianglimiaoshu	sycee	gold	exp	shengwang	tiaojian	yuliu
10000	崭露头角一	通关2个普通难度副本	CJ000	CHENGJIU_FUBEN_FINSH_PUTONG	10001	2	银两*1000	10000	-1	-1	-1	1	-1
10001	崭露头角二	通关4个普通难度副本	CJ000	CHENGJIU_FUBEN_FINSH_PUTONG	10002	4	银两*1000	20000	-1	-1	-1	1	-1
10002	崭露头角三	通关6个普通难度副本	CJ000	CHENGJIU_FUBEN_FINSH_PUTONG	10003	6	银两*1000	30000	-1	-1	-1	1	-1
10003	崭露头角四	通关9个普通难度副本	CJ000	CHENGJIU_FUBEN_FINSH_PUTONG	10004	9	银两*1000	45000	-1	-1	-1	1	-1
10004	崭露头角五	通关12个普通难度副本	CJ000	CHENGJIU_FUBEN_FINSH_PUTONG	10005	12	银两*1000	60000	-1	-1	-1	1	-1
10005	崭露头角六	通关16个普通难度副本	CJ000	CHENGJIU_FUBEN_FINSH_PUTONG	10006	16	银两*1000	80000	-1	-1	-1	1	-1
10006	崭露头角七	通关21个普通难度副本	CJ000	CHENGJIU_FUBEN_FINSH_PUTONG	-1	21	银两*1000	105000	-1	-1	-1	1	-1
10007	小试牛刀一	通关1高手难度副本	CJ001	CHENGJIU_FUBEN_FINSH_GAOSHOU	10008	1	元宝*10	-1	10	-1	-1	1	-1
10008	小试牛刀二	通关5高手难度副本	CJ001	CHENGJIU_FUBEN_FINSH_GAOSHOU	10009	5	元宝*10	-1	40	-1	-1	1	-1
10009	小试牛刀三	通关10高手难度副本	CJ001	CHENGJIU_FUBEN_FINSH_GAOSHOU	10010	10	元宝*10	-1	50	-1	-1	1	-1
10010	小试牛刀四	通关16高手难度副本	CJ001	CHENGJIU_FUBEN_FINSH_GAOSHOU	10011	16	元宝*10	-1	60	-1	-1	1	-1
10011	小试牛刀五	通关19高手难度副本	CJ001	CHENGJIU_FUBEN_FINSH_GAOSHOU	-1	19	元宝*10	-1	80	-1	-1	1	-1
10012	一鸣惊人一	通关1宗师难度副本	CJ002	CHENGJIU_FUBEN_FINSH_ZONGSHI	10013	1	元宝*10	-1	20	-1	-1	1	-1
10013	一鸣惊人二	通关4宗师难度副本	CJ002	CHENGJIU_FUBEN_FINSH_ZONGSHI	10014	4	元宝*10	-1	60	-1	-1	1	-1
10014	一鸣惊人三	通关8宗师难度副本	CJ002	CHENGJIU_FUBEN_FINSH_ZONGSHI	10015	8	元宝*10	-1	80	-1	-1	1	-1
10015	一鸣惊人四	通关13宗师难度副本	CJ002	CHENGJIU_FUBEN_FINSH_ZONGSHI	10016	13	元宝*10	-1	100	-1	-1	1	-1
10016	一鸣惊人五	通关17宗师难度副本	CJ002	CHENGJIU_FUBEN_FINSH_ZONGSHI	-1	17	元宝*10	-1	150	-1	-1	1	-1
10017	巧取豪夺一	成功掠夺残片100次	CJ003	CHENGJIU_PLUNDER_SUCCESS	10018	100	元宝*10	-1	20	-1	-1	1	-1
10018	巧取豪夺二	成功掠夺残片500次	CJ003	CHENGJIU_PLUNDER_SUCCESS	10019	500	元宝*10	-1	40	-1	-1	1	-1
10019	巧取豪夺三	成功掠夺残片1000次	CJ003	CHENGJIU_PLUNDER_SUCCESS	10020	1000	元宝*10	-1	100	-1	-1	1	-1
10020	巧取豪夺四	成功掠夺残片2500次	CJ003	CHENGJIU_PLUNDER_SUCCESS	-1	2500	元宝*10	-1	200	-1	-1	1	-1
10021	千锤百炼一	强化装备100次	CJ004	CHENGJIU_QIANGHUA_EQUIP	10022	100	银两*1000	100000	-1	-1	-1	1	-1
