弟子ID	弟子名	形象ID	描述	性别（1：男;2女）	属性偏向	弟子品质（1：丁;2：丙;3：乙;4：甲	天赋武学	初始气血	初始武功	初始内力	初始身法	初始防御	初始真气	气血成长	武功成长	内力成长	身法成长	防御成长	真气成长	招募所需魂魄数量	突破所需魂魄数量	初始命中	初始闪避	初始暴击	初始抗暴	初始会心	命中成长	闪避成长	暴击成长	抗暴成长	会心成长	招募转换魂魄数量	技能图片	身价	缘分ID	普通攻击效果	普通攻击帧频
id	name	showId	discripor	xingBie	pianXiang	pingZhi	tianFuId	hp	wuLi	neiLi	shenFa	fangYu	zhenQi	hpChengZhang	wuLiChengZhang	neiLiChengZhang	shenFaChengZhang	fangYuChengZhang	zhenQiChengZhang	zhaoMuNum	tuPoNum	mingZhong	shanBi	baoJi	kangBao	huiXing	mingZhongchengZhang	shanBichengZhang	baoJichengZhang	kangBaochengZhang	huiXingchengZhang	hunPoZhuanHuanNum	skillImage	shenJia	yuanFenId	puTongGongJi	puTongGongJiZhenPin
10000	六道仙人	liudaoxianren	吾乃世界安宁秩序的缔造者，将世界导向和平。	1	1	4	110007	352	202	264	235	50	126	5.53	7	13	7	1.45	1.97	36	24;8	0	0	15	0	40	0	0	0	0	0	22	xie	189;6.42	10000;13149;13190;11002;13150;13151	picture_4_fengpg01_shouji	8
10001	九尾鸣人	jiuweimingren	有我在，就有你在。你的未来我无法相让。	1	6	4	500018	275	245	210	121	104	200	6.07	8.85	8.99	5.73	1.5	1.86	36	18;6	0	0	10	20	0	0	0	0	0	0	16	mingren	189;6.42	13126;10000;11043;11017;13148;13119	picture_4_fengpg02_shouji	8
10002	宇智波斑	yuzhiboban	要控制别人，就要学会利用其内心黑暗的技巧。	1	6	4	230007	214	255	418	142	71	117	5.95	8.99	8	6.72	0.69	2.03	36	18;6	0	0	0	0	0	0	0	0	0	0	16	ban	189;6.42	13078;10009;13128;13074;10000;12000	picture_6_huopg_shouji	12
10003	千手柱间	shengdanlaoren	清廉的灵魂，犹如凉风般的村长，壮丽高耸的忍界巅峰，点燃天下太平之火。	1	21	4	500010	433	199	322	56	130	120	10.48	5.5	8.83	2.19	3.2	1.76	36	18;6	0	0	0	0	50	0	0	0	0	0	16	qianshouzhujian	189;6.42	13078;10026;11037;13099;12002;12003	picture_4_shuipg_shouji	8
10004	宇智波鼬	yuzhiboyou	无论村子有多么黑暗，有多少矛盾，我都是木叶的宇智波鼬。	1	2	4	500011	55	210	449	155	0	101	4.07	6.64	9.65	8.7	0.13	1.88	32	18;6	0	40	0	0	40	0	0	0	0	0	16	yuzhiboyou	189;6.42	13123;10009;13120;11012;13080;13083	picture_6_huopg_shouji	12
10005	长门	changmen	总有一天，我会尝试着解开这个诅咒。如果和平真的存在，那么就让我来实现它。	1	1	4	500012	253	169	253	169	50	107	6.24	6.24	10.17	5.19	1.8	1.84	28	15;5	0	0	15	0	30	0	0	0	0	0	13	changmen	189;6.42	10005;10006;10076;10062;13097;12025	picture_4_fengpg01_shouji	8
10006	宇智波佐助	zuozhu2	我早已闭上了眼睛，光明根本就不存在了。	1	12	4	330007	249	177	187	227	83	106	5.57	7.46	7.17	8.1	1.36	1.85	28	15;5	0	5	5	0	5	0	0	0	0	0	13	zuozhu	189;6.42	10000;10010;12005;11010;10009;13143	picture_4_leipg_shouji	8
10007	波风水门	sidai	火之国木叶忍者村第四代火影，人称“木叶的金色闪光”，将九尾封印的英雄，漩涡鸣人的父亲，自来也的徒弟。	1	24	4	330012	291	239	343	394	131	112	5.03	8.23	5.42	9.96	0.62	1.81	32	15;5	20	0	0	0	60	0	0	0	0	0	13	bofengshuimen	189;6.42	10011;10026;11017;11038;13077;13005	picture_4_fengpg02_shouji	8
10008	宇智波止水	yuzhibozhishui	牺牲自我，在暗处默默守护和平的无名忍者，才是真正的忍者。	1	9	4	800002	251	221	188	167	83	106	5.97	6.41	3.35	5.99	1.99	1.85	22	14;5	10	0	5	0	0	0	0	0	0	0	12	yuzhibo	189;6.42	10051;10071;11018;11019;12005;13040	picture_6_huopg_shouji	12
10009	大蛇丸	dashewan	只有活下去，才能找到有趣的事物…就像你找到了这朵花，就像我找到了你。	1	1	4	500014	50	10	10	10	10	90	6.51	8.01	11.51	7.14	0.94	2.45	24	17;6	10	0	10	0	0	0	0	0	0	0	15	dashewan	189;6.42	10006;10012;10013;11011;12008;13002	picture_4_fengpg01_shouji	8
10010	我爱罗	woailuo1	风之国砂隐村的第五代风影，如果只是等待，就只会遇到更大的痛苦。我必须努力，并且靠自己的力量找出一条路。	1	1	4	230002	287	77	266	38	69	103	5.24	5.18	8.17	5.5	2.3	1.87	20	15;5	0	10	0	0	5	0	0	0	0	0	13	woailuo	189;6.42	10014;10015;11020;11022;12009;10092	picture_7_woailuopugong_shouji	9
10011	赤砂之蝎	xie1	我讨厌等别人，也不喜欢被别人等。	1	7	4	220001	314	180	222	209	104	127	7.21	5.03	8.95	4.82	1.89	2.17	22	15;5	0	0	0	15	0	0	0	0	0	0	13	default	189;6.42	10016;10017;10072;11023;11024;13101	picture_4_dupugong01_shouji	5
10012	自来也	zilaiye	所谓忍者的人生，其价值不是由其怎样活着来决定，是由其到死之前有何作为来决定的。	1	11	4	800003	411	110	299	90	122	125	10.6	3.18	12.3	2.45	1.75	1.73	26	17;6	0	40	10	20	50	0	0	0	0	0	15	zilaiye	189;6.42	10012;10018;11037;13160;13162;13161	picture_6_huopg_shouji	12
