弟子等级	甲级	乙级	丙级	丁级
level	level4	level3	level2	level1
1	10	8	6	4
2	13	11	8	6
3	17	14	11	8
4	21	17	13	10
5	25	20	16	12
6	28	23	18	14
7	32	26	20	16
8	36	29	23	18
9	40	32	25	20
10	43	35	28	22
11	47	38	30	24
12	51	41	32	25
13	55	44	35	28
14	117	94	75	60
15	125	100	80	64
16	132	106	84	67
17	140	112	89	71
18	147	118	94	75
19	155	124	99	79
20	162	130	104	83
21	255	204	163	130
22	266	213	170	136
23	277	222	177	141
24	288	231	184	147
25	400	320	256	204
26	415	332	265	212
27	430	344	275	220
28	556	445	356	284
29	690	552	441	352
30	831	665	532	425
31	980	784	627	501
32	1010	808	646	516
33	1040	832	665	532
34	1070	856	684	547
35	1100	880	704	563
36	1271	1017	813	650
37	1305	1044	835	668
38	1487	1190	952	761
39	1525	1220	976	780
40	1718	1375	1100	880
41	1920	1536	1228	982
42	2128	1703	1362	1089
43	2345	1876	1500	1200
44	2740	2192	1753	1402
45	3150	2520	2016	1612
46	3396	2717	2173	1738
47	3650	2920	2336	1868
48	3725	2980	2384	1907
49	3800	3040	2432	1945
50	4068	3255	2604	2083
51	4147	3318	2654	2123
52	4427	3542	2833	2266
53	4715	3772	3017	2413
54	5010	4008	3206	2564
55	5525	4420	3536	2828
56	5838	4671	3736	2988
57	6380	5104	4083	3266
58	6936	5549	4439	3551
59	7507	6006	4804	3843
60	8325	6660	5328	4262
61	9165	7332	5865	4692
62	9311	7449	5959	4767
63	9457	7566	6052	4841
64	9850	7880	6304	5043
65	10250	8200	6560	5248
66	10657	8526	6820	5456
67	11072	8858	7086	5668
68	11495	9196	7356	5884
69	12190	9752	7801	6240
70	12900	10320	8256	6604
71	13625	10900	8720	6976
72	14641	11713	9370	7496
73	15680	12544	10035	8028
74	16741	13393	10714	8571
75	18112	14490	11592	9273
76	19513	15611	12488	9990
77	19765	15812	12649	10119
78	20315	16252	13001	10400
79	20872	16698	13358	10686
80	21437	17150	13720	10976
81	22010	17608	14086	11268
82	22903	18323	14658	11726
83	23812	19050	15240	12192
84	24736	19789	15831	12664
85	26000	20800	16640	13312
86	27286	21829	17463	13970
87	28927	23142	18513	14810
88	30598	24479	19583	15666
89	32300	25840	20672	16537
90	34375	27500	22000	17600
91	36835	29468	23574	18859
92	37232	29786	23828	19062
93	37630	30104	24083	19266
94	38386	30709	24567	19653
95	39512	31610	25288	20230
96	40653	32523	26018	20814
97	41810	33448	26758	21406
98	42981	34385	27508	22006
99	44545	35636	28508	22806
100	46512	37210	29768	23814
101	48510	38808	31046	24836
102	50926	40741	32592	26073
103	53380	42704	34163	27330
104	56267	45014	36011	28808
105	59200	47360	37888	30310
106	62581	50065	40052	32041
107	63162	50530	40424	32339
108	64155	51324	41059	32847
109	65155	52124	41699	33359
110	66581	53265	42612	34089
111	68022	54418	43534	34827
112	69905	55924	44739	35791
113	71810	57448	45958	36766
114	74171	59337	47469	37975
115	76562	61250	49000	39200
116	79425	63540	50832	40665
117	82770	66216	52972	42377
118	86160	68928	55142	44113
119	90047	72038	57630	46104
120	94443	75555	60444	48355
121	99360	79488	63590	50872
122	100170	80136	64108	51286
123	101447	81158	64926	51940
124	102732	82186	65748	52598
125	104975	83980	67184	53747
126	106761	85409	68327	54661
127	109527	87622	70097	56077
128	112323	89859	71887	57509
129	115150	92120	73696	58956
130	118993	95195	76156	60924
131	122882	98306	78644	62915
132	127317	101854	81483	65186
133	131805	105444	84355	67484
134	137362	109890	87912	70329
135	142987	114390	91512	73209
136	149196	119357	95485	76388
137	150800	120640	96512	77209
138	152411	121929	97543	78034
139	154557	123646	98916	79132
140	156718	125375	100300	80240
141	159430	127544	102035	81628
142	162702	130162	104129	83303
143	166547	133238	106590	85272
144	170976	136781	109424	87539
145	175450	140360	112288	89830
146	180522	144418	115534	92427
147	186205	148964	119171	95336
148	192508	154007	123205	98564
149	199445	159556	127644	102115
150	207025	165620	132496	105996
151	215260	172208	137766	110212
152	217246	173797	139037	111229
153	219240	175392	140313	112250
154	221825	177460	141968	113574
155	225012	180010	144008	115206
156	228813	183051	146440	117152
157	232645	186116	148892	119113
158	237703	190163	152130	121704
159	242807	194246	155396	124316
160	275237	220190	176152	140921
161	312320	249856	199884	159907
162	354133	283307	226645	181316
163	401375	321100	256880	205504
164	455376	364301	291440	233152
165	516250	413000	330400	264320
166	585366	468293	374634	299707
167	664125	531300	425040	340032
168	753320	602656	482124	385699
169	854400	683520	546816	437452
170	968843	775075	620060	496048
171	1098807	879046	703236	562588
172	1246492	997194	797755	638204
173	1413490	1130792	904633	723706
174	1603397	1282718	1026174	820939
175	1818562	1454850	1163880	931104
176	2062710	1650168	1320134	1056107
177	2339640	1871712	1497369	1197895
178	2653227	2122582	1698065	1358452
179	3009455	2407564	1926051	1540840
180	3413062	2730450	2184360	1747488
181	3870935	3096748	2477398	1981918
182	4390092	3512074	2809659	2247727
183	4978382	3982706	3186164	2548931
184	5645891	4516713	3613370	2890696
185	6402200	5121760	4097408	3277926
186	7259885	5807908	4646326	3717060
187	8232470	6585976	5268780	4215024
188	9335156	7468125	5974500	4779600
189	10585575	8468460	6774768	5419814
