掉落包ID	概率分母	普通物品ID(最多5个)	普通物品分子	高手物品ID(最多5个)	高手物品分子	宗师物品ID(最多5个)	宗师物品分子	元宝	元宝分子
id	fenMu	ptId	ptFenZi	gsId	gsFenZi	zsId	zsFenZi	ybNum	ybFenZi
10002	100	1100001	25	-1	-1	-1	-1	-1	-1
10004	100	1200005	25	-1	-1	-1	-1	-1	-1
10007	100	3100001;-4100003	25;100	-1	-1	-1	-1	-1	-1
10010	100	1100002;-1200005	25;25	-1	-1	-1	-1	-1	-1
10011	100	3200006;-2100001	25;25	-1	-1	-1	-1	-1	-1
10015	100	210007;-2100005	25;25	-1	-1	-1	-1	-1	-1
10019	100	4100002;-2200002	25;25	-1	-1	-1	-1	-1	-1
10020	100	1200002;-2200004	25;25	-1	-1	-1	-1	-1	-1
10025	100	5100002;-5200003	25;25	-1	-1	-1	-1	-1	-1
10029	100	210001;-4100002	25;25	-1	-1	-1	-1	-1	-1
10030	100	220002;-4100005	25;25	-1	-1	-1	-1	-1	-1
10035	100	1100000;-3100005	25;25	-1	-1	-1	-1	-1	-1
10039	100	2100010;-110002	25;25	-1	-1	-1	-1	-1	-1
10040	100	320003;-5200005	25;25	-1	-1	-1	-1	-1	-1
10044	100	1100008;3100004	25;25	-1	-1	-1	-1	-1	-1
10048	100	1100005;110008	25;25	-1	-1	-1	-1	-1	-1
10050	100	3200001;3200006	25;25	-1	-1	-1	-1	-1	-1
10055	100	1100001;3100002	25;25	-1	-1	-1	-1	-1	-1
10060	100	1100005;410016	25;25	-1	-1	-1	-1	-1	-1
10061	100	3100003;310011	25;25	-1	-1	-1	-1	-1	-1
10062	100	120010;120006	25;25	-1	-1	-1	-1	-1	-1
10067	100	5100002;3100004;-400005	25;25;20	-1	-1	-1	-1	-1	-1
10072	100	1100004;310007;-500002	25;25;20	-1	-1	-1	-1	-1	-1
10073	100	1100002;110001;-500005	25;25;20	-1	-1	-1	-1	-1	-1
10074	100	1200004;120003;-110002	25;25;15	-1	-1	-1	-1	-1	-1
10079	100	1100005;3100001;-420002	25;25;10	-1	-1	-1	-1	-1	-1
10084	100	1100003;210007;-320005	25;25;10	-1	-1	-1	-1	-1	-1
10085	100	4100010;410001;-320002	25;25;10	-1	-1	-1	-1	-1	-1
10086	100	420017;220006;-220005	25;25;10	-1	-1	-1	-1	-1	-1
10091	100	3100002;220011	25;25	-1	-1	-1	-1	-1	-1
10096	100	3100004;1100002	25;25	-1	-1	-1	-1	-1	-1
10097	100	1100002;210007	25;25	-1	-1	-1	-1	-1	-1
10098	100	3200004;3200001	25;25	-1	-1	-1	-1	-1	-1
10102	100	3100001;410010;-1307	25;25;10	-1	-1	-1	-1	-1	-1
10106	100	1100004;3100004	25;25	-1	-1	-1	-1	-1	-1
10110	100	1100005;110008;-1202	25;25;20	-1	-1	-1	-1	-1	-1
10113	100	1200004;1200005;-1203	25;25;20	-1	-1	-1	-1	-1	-1
10117	100	1100003;1100001	25;25	-1	-1	-1	-1	-1	-1
10121	100	2100010;210006	25;25	-1	-1	-1	-1	-1	-1
10125	100	5100005;110010	25;25	-1	-1	-1	-1	-1	-1
10128	100	220004;320002	25;25	-1	-1	-1	-1	-1	-1
10132	100	3200006;410016	25;25	-1	-1	-1	-1	-1	-1
10136	100	1200005;3100004	25;25	-1	-1	-1	-1	-1	-1
10140	100	1200002;310002	25;25	-1	-1	-1	-1	-1	-1
10143	100	320010;120003	25;25	-1	-1	-1	-1	-1	-1
10147	100	3100003	25	-1	-1	-1	-1	-1	-1
10151	100	3100005;410010	25;25	-1	-1	-1	-1	-1	-1
10155	100	1200004;110005	25;25	-1	-1	-1	-1	-1	-1
10158	100	3200001;3100003	25;25	-1	-1	-1	-1	-1	-1
10161	100	1204;320010	25;25	-1	-1	-1	-1	-1	-1
10165	100	3100002;410007	25;25	-1	-1	-1	-1	-1	-1
10169	100	1200007;3100002	25;25	-1	-1	-1	-1	-1	-1
10173	100	1208;220009	25;25	-1	-1	-1	-1	-1	-1
10177	100	1200007;310008	25;25	-1	-1	-1	-1	-1	-1
10179	100	1218;120005	25;25	-1	-1	-1	-1	-1	-1
10184	100	3100003;110003	25;25	-1	-1	-1	-1	-1	-1
10187	100	410018;310006	25;25	-1	-1	-1	-1	-1	-1
10190	100	410002;110010	25;25	-1	-1	-1	-1	-1	-1
10193	100	4100002;3200006	25;25	-1	-1	-1	-1	-1	-1
10197	100	220007;1211	25;25	-1	-1	-1	-1	-1	-1
10202	100	1100003;2100010	25;25	-1	-1	-1	-1	-1	-1
10207	100	210006;1100001	25;25	-1	-1	-1	-1	-1	-1
10210	100	4100004;110010	25;25	-1	-1	-1	-1	-1	-1
10213	100	1200003;5100005	25;25	-1	-1	-1	-1	-1	-1
10214	100	3200003;4100004	25;25	-1	-1	-1	-1	-1	-1
10215	100	320011;120009	25;25	-1	-1	-1	-1	-1	-1
10220	100	1100005;1100003	25;25	-1	-1	-1	-1	-1	-1
10225	100	1200007;410002	25;25	-1	-1	-1	-1	-1	-1
10230	100	4100010;3200002	25;25	-1	-1	-1	-1	-1	-1
10231	100	1200002;110004	25;25	-1	-1	-1	-1	-1	-1
10232	100	310010;3100004	25;25	-1	-1	-1	-1	-1	-1
10233	100	330011	2	-1	-1	-1	-1	-1	-1
10236	100	1200004;3100001	25;25	-1	-1	-1	-1	-1	-1
10240	100	3200001;3100004	25;25	-1	-1	-1	-1	-1	-1
10245	100	1100004;1200003	25;25	-1	-1	-1	-1	-1	-1
10250	100	1207;1200002	25;25	-1	-1	-1	-1	-1	-1
10259	100	4100003;110000	25;25	-1	-1	-1	-1	-1	-1
10265	100	2100010;310008	25;25	-1	-1	-1	-1	-1	-1
10271	100	5100004;410010	25;25	-1	-1	-1	-1	-1	-1
10272	100	3100002;1209	25;25	-1	-1	-1	-1	-1	-1
10273	100	5200005;420008	25;10	-1	-1	-1	-1	-1	-1
10279	100	4100001;4200003	25;25	-1	-1	-1	-1	-1	-1
10286	100	1100001;3200006	25;25	-1	-1	-1	-1	-1	-1
10291	100	2100008;5200003	25;25	-1	-1	-1	-1	-1	-1
10294	100	2100007;1201	25;25	-1	-1	-1	-1	-1	-1
10297	100	5100002;320004	25;25	-1	-1	-1	-1	-1	-1
10303	100	1100003;210002	25;25	-1	-1	-1	-1	-1	-1
10306	100	1100001;220008	25;25	-1	-1	-1	-1	-1	-1
10309	100	1100005	10	-1	-1	-1	-1	-1	-1
11004	100	210010;-3100002	25;25	-1	-1	-1	-1	-1	-1
11008	100	4100001;-3100005	25;25	-1	-1	-1	-1	-1	-1
11009	100	4200006;-3200002	25;25	-1	-1	-1	-1	-1	-1
11014	100	4100002;-5100002	25;25	-1	-1	-1	-1	-1	-1
11019	100	5100004;-5100005	25;25	-1	-1	-1	-1	-1	-1
11021	100	5200006;-4200007	25;25	-1	-1	-1	-1	-1	-1
11027	100	410010;410000	25;25	-1	-1	-1	-1	-1	-1
11032	100	4100002;5100002	25;25	-1	-1	-1	-1	-1	-1
11033	100	1223;5200004	25;25	-1	-1	-1	-1	-1	-1
11038	100	5200006;-5300001	50;10	-1	-1	-1	-1	-1	-1
11042	100	4100004;310007	25;25	-1	-1	-1	-1	-1	-1
11045	100	1301;1200003	25;25	-1	-1	-1	-1	-1	-1
11050	100	5100003;1200007;-100002	25;25;20	-1	-1	-1	-1	-1	-1
11055	100	4100010;310003;-100005	25;25;20	-1	-1	-1	-1	-1	-1
11058	100	320011;-200002	25;20	-1	-1	-1	-1	-1	-1
11059	100	220001;120002;-200002	25;25;20	-1	-1	-1	-1	-1	-1
11064	100	4100010;1200007;-110005	25;25;15	-1	-1	-1	-1	-1	-1
11069	100	220000;-210002	25;15	-1	-1	-1	-1	-1	-1
11072	100	5100001;-210005	25;25;15	-1	-1	-1	-1	-1	-1
11073	100	320004;420013;-310002	25;25;15	-1	-1	-1	-1	-1	-1
11079	100	4100010;1200003;-220002	25;25;10	-1	-1	-1	-1	-1	-1
11085	100	3200001;220009;-120005	25;25;10	-1	-1	-1	-1	-1	-1
11086	100	1200003;4100002;-120002	25;25;10	-1	-1	-1	-1	-1	-1
11087	100	5200007;420004	25;25	-1	-1	-1	-1	-1	-1
11093	100	5100004;5100002	25;25	-1	-1	-1	-1	-1	-1
11099	100	1200007;3200004	25;25	-1	-1	-1	-1	-1	-1
11100	100	1201;310004	25;25	-1	-1	-1	-1	-1	-1
11101	100	1306;410008	25;25	-1	-1	-1	-1	-1	-1
11106	100	4200003;4200005;1204	25;25;20	-1	-1	-1	-1	-1	-1
11112	100	5200006;220011;-1205	25;25;20	-1	-1	-1	-1	-1	-1
11115	100	3200006;1205;-1206	25;25;20	-1	-1	-1	-1	-1	-1
11119	100	1316;120009;-1207	25;25;20	-1	-1	-1	-1	-1	-1
11124	100	4100005;3200004	25;25	-1	-1	-1	-1	-1	-1
11130	100	1200003;220000	25;25	-1	-1	-1	-1	-1	-1
11136	100	220009;120010	25;25	-1	-1	-1	-1	-1	-1
11137	100	1200005;1209	25;25	-1	-1	-1	-1	-1	-1
11142	100	4100010;3200006	25;25	-1	-1	-1	-1	-1	-1
11147	100	4100005;3200001	25;25	-1	-1	-1	-1	-1	-1
11151	100	1200003;120003	25;25	-1	-1	-1	-1	-1	-1
11155	100	320010;220005	25;25	-1	-1	-1	-1	-1	-1
11160	100	4100004;220008	25;25	-1	-1	-1	-1	-1	-1
11165	100	4100004;3200002	25;25	-1	-1	-1	-1	-1	-1
11169	100	1200003;3200004	25;25	-1	-1	-1	-1	-1	-1
11174	100	1200005;420001	25;25	-1	-1	-1	-1	-1	-1
11175	100	120008;120003	25;25	-1	-1	-1	-1	-1	-1
11180	100	4100010;320011	25;25	-1	-1	-1	-1	-1	-1
11185	100	1200004;3200002	25;25	-1	-1	-1	-1	-1	-1
11190	100	3200004;4100005	25;25	-1	-1	-1	-1	-1	-1
11194	100	320000;220011	25;25	-1	-1	-1	-1	-1	-1
11195	100	420005;1200003	25;25	-1	-1	-1	-1	-1	-1
11200	100	4100004;220010	25;25	-1	-1	-1	-1	-1	-1
11204	100	3200002;1200007	25;25	-1	-1	-1	-1	-1	-1
11208	100	1200004;420004	25;25	-1	-1	-1	-1	-1	-1
11211	100	310009;120007	25;25	-1	-1	-1	-1	-1	-1
11215	100	320007;420011	25;25	-1	-1	-1	-1	-1	-1
11221	100	320009;5200006	25;25	-1	-1	-1	-1	-1	-1
11227	100	310008;320001	25;25	-1	-1	-1	-1	-1	-1
11230	100	1314	25	-1	-1	-1	-1	-1	-1
11233	100	4200004;2100001	25;25	-1	-1	-1	-1	-1	-1
11234	100	110001;320004	25;25	-1	-1	-1	-1	-1	-1
11235	100	2100008;220006	25;25	-1	-1	-1	-1	-1	-1
11241	100	5200007;320001	25;25	-1	-1	-1	-1	-1	-1
11247	100	420014	25;25	-1	-1	-1	-1	-1	-1
11252	100	120005;220005	25;25	-1	-1	-1	-1	-1	-1
11253	100	3200001;1200004	25;25	-1	-1	-1	-1	-1	-1
11254	100	220007;420006	25;25	-1	-1	-1	-1	-1	-1
