英雄ID	英雄名称	形象ID	品质	等级	默认武学ID；等级	性别（1：男；2：女）	气血	武力	内力	身法	防御	命中	闪避	暴击	抗暴	会心	武学释放概率	武学破坏力百分比	被攻击时化解概率	化解时减伤伤害	攻击时被化解概率	被化解时损失伤害	初始金刚	初始无序	初始反击	普通攻击效果	普通攻击帧频
id	name	showId	quality	level	skillid	xingBie	hp	wuLi	neiLi	shenFa	fangYu	mingZhong	shanBi	baoJi	kangBao	huiXin	wuXueShiFangGaiLv	wuXuePoHuaiLiGaiLv	huaJieGaiLv	huaJieJianShang	beiHuaJieGaiLv	beiHuaJieJianShang	jinGang	wuXu	fanJi	puTongGongJi	puTongGongJiZhenPin
100000	木叶下忍	muyedizi	1	1	200002;1	1	40	15	11	17	7	0	1	0	1	1	100	10	10	10	10	10	10	10	10	effect_can	24
100001	木叶下忍	muyedizi	1	2	200002;1	2	45	17	13	20	8	0	1	0	2	2	100	10	10	10	10	10	10	10	10	effect_can	24
100002	木叶叛忍	guai2	1	3	300002;1	1	52	20	15	23	10	0	1	0	2	2	100	10	10	10	10	10	10	10	10	effect_can	24
100003	木叶丸	muyewan	1	5	100002;1	2	58	25	19	30	13	0	1	0	3	3	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100004	下忍	guai2	1	6	300000;1	1	68	27	22	34	14	0	1	0	4	4	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100005	雾忍叛忍	wuyincundizi	1	8	200003;1	2	254	41	34	54	23	0	1	0	5	5	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100006	岩隐下忍	yanyincundizi	1	13	300002;1	1	216	57	48	75	32	0	1	0	7	7	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100007	监考上忍	muyedizi	1	13	200001;1	2	216	58	48	75	32	0	1	0	7	7	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100008	草忍考生	wuyincundizi	1	13	300002;1	1	216	56	48	75	32	0	1	0	7	7	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100009	下忍	guai5	1	20	200002;1	2	330	130	128	121	52	0	2	0	11	11	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
