技能ID	技能名	技能图标	技能描述	品质（4甲 3乙 2丙 1丁）	技能等级上限	身价	技能类型（1:外功（体术）、2、内功（忍术）、3、轻功（幻术）、4、心法（密传））	技能类型（1、全体;2、单体、3横扫、4、溅射;5、贯穿）	外攻系数	内功系数	身法系数	初始伤害计算系数	属性加成	初始触发概率	天赋触发概率	触发概率上限	缘分名	缘分弟子	缘分加成	缘分触发概率增加	属性差影响触发武学系数	技能内置冷却（回合数）	出手动作路径类型（0：原地;1 到某一列前;2 到目标前;3 到敌方整体区域;4直跳;5斜跳）	出手动作ID	受击动作ID	发起特效播放类型（0：群体攻击的飞行特效(一对多);1：单体攻击（一对一）;2：召唤群攻斜45（一对多）;3：为召唤群攻90度（一对多）;4：有踢和打的感觉（多特效对一）5：单体攻击的加强版本（多特效对一目标））6:到敌方正中心	出手特效类型（1、增加显示特效;2为替换显示特效）	发起动作ID	技能升级经验	技能升级经验成长	技能携带经验	技能携带经验成长	技能效果图片	真气占用	技能残片数量	发起效类型（1、不隐藏;2隐藏）	飞行效类型（1、不隐藏;2隐藏）	受击效类型（1、不隐藏;2隐藏）	调用特效ID
id	name	tuBiao	miaoShu	pingZhi	dengJi	shenJia	leiXing1	leiXing2	waiGong	neiGong	shenFa	shangHaiXiShu	jiaCheng	chuFaGaiLv	tianFuGaiLv	shuFaShangXian	yuanFengName	yuanFenDiZi	yuanFenJiaChen	yuanFenChuFa	shuXingChaXiShu	neiZhiCd	chuShouDongZuoLeiXing	chuShouDongZuoId	shouJiDongZuoId	faQiTeXiaoLeiXing	kinds	qiShouDongZuo	jiNengShengJiJingYan	jiNengShengJiJingYanGrow	jiNengXieDaiJingYan	jiNengXieDaiJingYanGrow	image	zhenQiZhanYong	canPianShuLiang	faQiLeiXing	feiXingLeiXing	shouJiLeiXing	TeXiaoID
100003	操手里剑	jineng121	利用钢丝操纵手里剑，较难释放	1	6	128;59	1	1	7	0	3	3;1.4	-1	25	25	25	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9100003
130000	大瀑布	jineng64	"以瀑布之量的水攻击对方,其攻击力非常之高,,较难释放"	4	6	432;230	1	1	6	4	0	9;4.8	-1	26	26	26	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9130000
130007	千鸟千本	jineng80	"将雷遁查克拉藉由手中的千鸟发射出去，化为极细的雷之千本攻击对手,较难释放"	4	6	432;320	1	1	6	4	0	7;5.2	-1	26	26	26	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9130007
900000	豪火灭失	jineng143	"施术者在周围的鬼灯笼中注入查克拉后,鬼灯笼会发送爆炸，较难释放"	4	6	432;149	1	1	6	4	0	13;4.5	-1	24	24	24	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9900000
900001	不尸转生	jineng32	"侵蚀忍者的意识,夺其肉体变成自己灵魂容器的禁术,较难释放"	4	6	432;194	1	1	7	3	0	12;5.4	-1	21	21	21	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9900001
900002	五重罗生门	jineng147	"超强防御忍术，没有之一,较难释放"	4	6	432;360	1	1	8	2	0	6;5	-1	25	25	25	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9900002
900003	八岐	jineng29	"召唤出八歧大蛇的忍术,极难释放"	4	6	432;142	1	1	6	4	0	17;5.6	-1	19	19	19	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9900003
900004	百机操演	jineng79	"操作傀儡的忍术,极难释放"	4	6	432;164	1	1	6	0	4	22;8.4	-1	14	14	14	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9900004
900005	十机近松	jineng79	"操作傀儡的忍术,极难释放"	4	6	432;180	1	1	7	0	3	16;6.7	-1	17	17	17	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9900005
900006	黑斑差	jineng146	"黑板就是差,极难释放"	4	6	432;345	1	1	8	2	0	12;9.6	-1	13	13	13	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9900006
