编号	起始名次	结束名次	元神	银两	铜宝箱	银宝箱	金宝箱	上古宝盒	10分钟声望	奖励道具
id	start	end	yuanShen	money	coperBox	silverBox	goldBox	bigBox	honor	goods
1	1	1	7750	239200	0	0	10	0	598	13000008_7750;13000002_239200;11000005_10
2	2	2	7633	235600	0	0	9	0	589	13000008_7633;13000002_235600;11000005_9
3	3	3	7517	232000	0	0	8	0	580	13000008_7517;13000002_232000;11000005_8
4	4	4	7400	228400	0	0	7	0	571	13000008_7400;13000002_228400;11000005_7
5	5	5	7296	225200	0	0	6	0	563	13000008_7296;13000002_225200;11000005_6
6	6	6	7193	222000	0	0	5	0	555	13000008_7193;13000002_222000;11000005_5
7	7	7	7089	218800	0	0	4	0	547	13000008_7089;13000002_218800;11000005_4
8	8	8	6985	215600	0	0	3	0	539	13000008_6985;13000002_215600;11000005_3
9	9	9	6895	212800	0	0	2	0	532	13000008_6895;13000002_212800;11000005_2
10	10	10	6804	210000	0	0	1	0	525	13000008_6804;13000002_210000;11000005_1
11	11	11	6713	207200	0	0	1	0	518	13000008_6713;13000002_207200;11000005_1
12	12	12	6636	204800	0	0	1	0	512	13000008_6636;13000002_204800;11000005_1
13	13	13	6545	202000	0	0	1	0	505	13000008_6545;13000002_202000;11000005_1
14	14	14	6467	199600	0	0	1	0	499	13000008_6467;13000002_199600;11000005_1
15	15	15	6389	197200	0	0	1	0	493	13000008_6389;13000002_197200;11000005_1
16	16	16	6312	194800	0	0	1	0	487	13000008_6312;13000002_194800;11000005_1
17	17	17	6247	192800	0	0	1	0	482	13000008_6247;13000002_192800;11000005_1
18	18	18	6169	190400	0	0	1	0	476	13000008_6169;13000002_190400;11000005_1
19	19	19	6104	188400	0	1	0	0	471	13000008_6104;13000002_188400;11000006_1
20	20	20	6039	186400	0	1	0	0	466	13000008_6039;13000002_186400;11000006_1
21	21	21	5975	184400	0	1	0	0	461	13000008_5975;13000002_184400;11000006_1
22	22	22	5910	182400	0	1	0	0	456	13000008_5910;13000002_182400;11000006_1
23	23	23	5858	180800	0	1	0	0	452	13000008_5858;13000002_180800;11000006_1
24	24	24	5793	178800	0	1	0	0	447	13000008_5793;13000002_178800;11000006_1
25	25	25	5741	177200	0	1	0	0	443	13000008_5741;13000002_177200;11000006_1
26	26	26	5689	175600	0	1	0	0	439	13000008_5689;13000002_175600;11000006_1
27	27	27	5625	173600	0	1	0	0	434	13000008_5625;13000002_173600;11000006_1
28	28	28	5586	172400	0	1	0	0	431	13000008_5586;13000002_172400;11000006_1
29	29	29	5534	170800	1	0	0	0	427	13000008_5534;13000002_170800;11000007_1
30	30	30	5482	169200	1	0	0	0	423	13000008_5482;13000002_169200;11000007_1
31	31	31	5430	167600	1	0	0	0	419	13000008_5430;13000002_167600;11000007_1
32	32	32	5391	166400	1	0	0	0	416	13000008_5391;13000002_166400;11000007_1
33	33	33	5352	165200	1	0	0	0	413	13000008_5352;13000002_165200;11000007_1
34	34	34	5301	163600	1	0	0	0	409	13000008_5301;13000002_163600;11000007_1
35	35	35	5262	162400	1	0	0	0	406	13000008_5262;13000002_162400;11000007_1
36	36	36	5223	161200	1	0	0	0	403	13000008_5223;13000002_161200;11000007_1
37	37	37	5184	160000	1	0	0	0	400	13000008_5184;13000002_160000;11000007_1
38	38	38	5145	158800	1	0	0	0	397	13000008_5145;13000002_158800;11000007_1
39	39	39	5106	157600	1	0	0	0	394	13000008_5106;13000002_157600;11000007_1
40	40	40	5080	156800	1	0	0	0	392	13000008_5080;13000002_156800;11000007_1
41	41	41	5041	155600	1	0	0	0	389	13000008_5041;13000002_155600;11000007_1
42	42	42	5003	154400	1	0	0	0	386	13000008_5003;13000002_154400;11000007_1
43	43	43	4977	153600	1	0	0	0	384	13000008_4977;13000002_153600;11000007_1
44	44	44	4938	152400	1	0	0	0	381	13000008_4938;13000002_152400;11000007_1
45	45	45	4912	151600	1	0	0	0	379	13000008_4912;13000002_151600;11000007_1
46	46	46	4886	150800	1	0	0	0	377	13000008_4886;13000002_150800;11000007_1
47	47	47	4847	149600	1	0	0	0	374	13000008_4847;13000002_149600;11000007_1
48	48	48	4821	148800	1	0	0	0	372	13000008_4821;13000002_148800;11000007_1
49	49	49	4795	148000	1	0	0	0	370	13000008_4795;13000002_148000;11000007_1
50	50	54	4769	147200	1	0	0	0	368	13000008_4769;13000002_147200;11000007_1
51	55	59	4743	146400	1	0	0	0	366	13000008_4743;13000002_146400;11000007_1
52	60	64	4717	145600	1	0	0	0	364	13000008_4717;13000002_145600;11000007_1
53	65	69	4692	144800	1	0	0	0	362	13000008_4692;13000002_144800;11000007_1
54	70	74	4666	144000	1	0	0	0	360	13000008_4666;13000002_144000;11000007_1
55	75	79	4640	143200	1	0	0	0	358	13000008_4640;13000002_143200;11000007_1
56	80	84	4614	142400	1	0	0	0	356	13000008_4614;13000002_142400;11000007_1
57	85	89	4588	141600	1	0	0	0	354	13000008_4588;13000002_141600;11000007_1
58	90	94	4575	141200	1	0	0	0	353	13000008_4575;13000002_141200;11000007_1
59	95	99	4549	140400	1	0	0	0	351	13000008_4549;13000002_140400;11000007_1
60	100	109	4523	139600	1	0	0	0	349	13000008_4523;13000002_139600;11000007_1
61	110	119	4510	139200	1	0	0	0	348	13000008_4510;13000002_139200;11000007_1
62	120	129	4484	138400	1	0	0	0	346	13000008_4484;13000002_138400;11000007_1
63	130	139	4471	138000	1	0	0	0	345	13000008_4471;13000002_138000;11000007_1
64	140	149	4445	137200	1	0	0	0	343	13000008_4445;13000002_137200;11000007_1
65	150	159	4432	136800	1	0	0	0	342	13000008_4432;13000002_136800;11000007_1
66	160	169	4406	136000	1	0	0	0	340	13000008_4406;13000002_136000;11000007_1
67	170	179	4393	135600	1	0	0	0	339	13000008_4393;13000002_135600;11000007_1
68	180	189	4368	134800	1	0	0	0	337	13000008_4368;13000002_134800;11000007_1
69	190	199	4355	134400	1	0	0	0	336	13000008_4355;13000002_134400;11000007_1
70	200	209	4342	134000	1	0	0	0	335	13000008_4342;13000002_134000;11000007_1
71	210	219	4316	133200	1	0	0	0	333	13000008_4316;13000002_133200;11000007_1
72	220	229	4303	132800	1	0	0	0	332	13000008_4303;13000002_132800;11000007_1
73	230	239	4290	132400	1	0	0	0	331	13000008_4290;13000002_132400;11000007_1
74	240	249	4264	131600	1	0	0	0	329	13000008_4264;13000002_131600;11000007_1
75	250	259	4251	131200	1	0	0	0	328	13000008_4251;13000002_131200;11000007_1
76	260	269	4238	130800	1	0	0	0	327	13000008_4238;13000002_130800;11000007_1
77	270	279	4225	130400	1	0	0	0	326	13000008_4225;13000002_130400;11000007_1
78	280	289	4212	130000	1	0	0	0	325	13000008_4212;13000002_130000;11000007_1
79	290	299	4186	129200	1	0	0	0	323	13000008_4186;13000002_129200;11000007_1
