强化等级	甲级消耗	乙级消耗	丙级消耗	丁级消耗
level	level10	level11	level12	level13
1	56	28	14	7
2	224	112	56	28
3	504	252	126	63
4	896	448	224	112
5	1400	700	350	175
6	2016	1008	504	252
7	2744	1372	686	343
8	3584	1792	896	448
9	4536	2268	1134	567
10	5600	2800	1400	700
11	6776	3388	1694	847
12	8064	4032	2016	1008
13	9464	4732	2366	1183
14	10976	5488	2744	1372
15	12600	6300	3150	1575
16	14336	7168	3584	1792
17	16184	8092	4046	2023
18	18144	9072	4536	2268
19	20216	10108	5054	2527
20	22400	11200	5600	2800
21	24696	12348	6174	3087
22	27104	13552	6776	3388
23	29624	14812	7406	3703
24	32256	16128	8064	4032
25	35000	17500	8750	4375
26	37856	18928	9464	4732
27	40824	20412	10206	5103
28	43904	21952	10976	5488
29	47096	23548	11774	5887
30	50400	25200	12600	6300
31	53816	26908	13454	6727
32	57344	28672	14336	7168
33	60984	30492	15246	7623
34	64736	32368	16184	8092
35	68600	34300	17150	8575
36	72576	36288	18144	9072
37	76664	38332	19166	9583
38	80864	40432	20216	10108
39	85176	42588	21294	10647
40	89600	44800	22400	11200
41	94136	47068	23534	11767
42	98784	49392	24696	12348
43	103544	51772	25886	12943
44	108416	54208	27104	13552
45	113400	56700	28350	14175
46	118496	59248	29624	14812
47	123704	61852	30926	15463
48	129024	64512	32256	16128
49	134456	67228	33614	16807
50	140000	70000	35000	17500
51	145656	72828	36414	18207
52	151424	75712	37856	18928
53	157304	78652	39326	19663
54	163296	81648	40824	20412
55	169400	84700	42350	21175
56	175616	87808	43904	21952
57	181944	90972	45486	22743
58	188384	94192	47096	23548
59	194936	97468	48734	24367
60	201600	100800	50400	25200
61	208376	104188	52094	26047
62	215264	107632	53816	26908
63	222264	111132	55566	27783
64	229376	114688	57344	28672
65	236600	118300	59150	29575
66	243936	121968	60984	30492
67	251384	125692	62846	31423
68	258944	129472	64736	32368
69	266616	133308	66654	33327
70	274400	137200	68600	34300
71	282296	141148	70574	35287
72	290304	145152	72576	36288
73	298424	149212	74606	37303
74	306656	153328	76664	38332
75	315000	157500	78750	39375
76	323456	161728	80864	40432
77	332024	166012	83006	41503
78	340704	170352	85176	42588
79	349496	174748	87374	43687
80	358400	179200	89600	44800
81	367416	183708	91854	45927
82	376544	188272	94136	47068
83	385784	192892	96446	48223
84	395136	197568	98784	49392
85	404600	202300	101150	50575
86	414176	207088	103544	51772
87	423864	211932	105966	52983
88	433664	216832	108416	54208
89	443576	221788	110894	55447
90	453600	226800	113400	56700
91	463736	231868	115934	57967
92	473984	236992	118496	59248
93	484344	242172	121086	60543
94	494816	247408	123704	61852
95	505400	252700	126350	63175
96	516096	258048	129024	64512
97	526904	263452	131726	65863
98	537824	268912	134456	67228
99	548856	274428	137214	68607
100	560000	280000	140000	70000
101	571256	285628	142814	71407
102	582624	291312	145656	72828
103	594104	297052	148526	74263
104	605696	302848	151424	75712
105	617400	308700	154350	77175
106	629216	314608	157304	78652
107	641144	320572	160286	80143
108	653184	326592	163296	81648
109	665336	332668	166334	83167
110	677600	338800	169400	84700
111	689976	344988	172494	86247
112	702464	351232	175616	87808
113	715064	357532	178766	89383
114	727776	363888	181944	90972
115	740600	370300	185150	92575
116	753536	376768	188384	94192
117	766584	383292	191646	95823
118	779744	389872	194936	97468
119	793016	396508	198254	99127
120	806400	403200	201600	100800
121	819896	409948	204974	102487
122	833504	416752	208376	104188
123	847224	423612	211806	105903
124	861056	430528	215264	107632
125	875000	437500	218750	109375
126	889056	444528	222264	111132
127	903224	451612	225806	112903
128	917504	458752	229376	114688
129	931896	465948	232974	116487
130	946400	473200	236600	118300
131	961016	480508	240254	120127
132	975744	487872	243936	121968
133	990584	495292	247646	123823
134	1005536	502768	251384	125692
135	1020600	510300	255150	127575
136	1035776	517888	258944	129472
137	1051064	525532	262766	131383
138	1066464	533232	266616	133308
139	1081976	540988	270494	135247
140	1097600	548800	274400	137200
141	1113336	556668	278334	139167
142	1129184	564592	282296	141148
143	1145144	572572	286286	143143
144	1161216	580608	290304	145152
145	1177400	588700	294350	147175
146	1193696	596848	298424	149212
147	1210104	605052	302526	151263
148	1226624	613312	306656	153328
149	1243256	621628	310814	155407
150	1260000	630000	315000	157500
151	1276856	638428	319214	159607
152	1293824	646912	323456	161728
153	1310904	655452	327726	163863
154	1328096	664048	332024	166012
155	1345400	672700	336350	168175
156	1362816	681408	340704	170352
157	1380344	690172	345086	172543
158	1397984	698992	349496	174748
159	1415736	707868	353934	176967
160	1433600	716800	358400	179200
161	1451576	725788	362894	181447
162	1469664	734832	367416	183708
163	1487864	743932	371966	185983
164	1506176	753088	376544	188272
165	1524600	762300	381150	190575
166	1543136	771568	385784	192892
167	1561784	780892	390446	195223
168	1580544	790272	395136	197568
169	1599416	799708	399854	199927
170	1618400	809200	404600	202300
171	1637496	818748	409374	204687
172	1656704	828352	414176	207088
