关卡ID	回合id	左侧队伍名	左边出现弟子位置	左边弟子ID	左侧弟子总血量	左侧释放技能	左释放伤害位置	左侧伤害类型（0.没伤害不动1.普通伤害，2暴击，4闪避，9化解）	左伤害右血量	右侧队伍名字	右边出现弟子位置	右边弟子ID	右侧弟子总血量	右侧释放技能	右释放伤害位置	伤害类型（0.没伤害不动1.普通伤害，2暴击，4闪避，8化解）	右伤害血左侧量	是否有剧情
ID	huiheID	zuoDuiWuName	zuoWeizi	zuoID	zuoZongxueliang	zuoSkill	zuoShanghaiweizi	zuoShanghaileixing	zuoShanghaixueliang	yuoDuiWuName	youWeizi	youID	youZxueliang	zuoSkill	youShanghaiweizi	youShanghaileixing	youShanghaixueliang	juqingID
10000	1	忍者小队	5_1	1_10118	1000	800005	5	1	100	九尾之战	5_1	2_101613	60000	500023	5	1	290	100
10000	2	-1	5_0;6_1;1_1;7_1	1_10118;1_10007;1_10046;1_10075	710;40000;20000;20000	800005;330012;210004;130003	5;5_8;5_8;5_8	2;1_1;1_1;1_1	521;29379_5656;5650_3546;5650_2349	-1	5_0;8_1	2_101613;1_10040	59900;20000	230008;500024	6_1_7;6_1_7	2_2_2;1_1_1	12090_12136_11089;8969_7864_8911	101
10000	3	-1	5_0;6_0	1_10118;1_10007	710;18941	800005;800004	5;5_8	1;1_2	1;9701_8449	-1	5_0;8_0	2_101613;1_10040	18700;8449	230008;330007	6_5;6_5	1_2;1_1	9523_599;1500_1	-1
10000	4	-1	6_0;5_0	1_10007;1_10118	9418;111	330010;800005	5;5	1;2	8999;2	-1	5_0	2_101613	8999	500023	6	1	1200	-1
10002	1	忍者小队	5_1;7_1	1_10041;1_10118	800;2500	500021;800005	6;6_5	1;1_1	175;325_335	下忍考试	6_1;5_1	2_101552;2_100001	1000;800	120006;900008	5_7;5_7	2_1;1_1	120_380;100_200	102
10002	2	-1	5_0;7_0	1_10041;1_10118	680;1650	500022;800005	6_5;6	1_1;1	275_465;325	-1	6_0;5_0	2_101552;2_100001	500;465	100002;200002	5_7;5_7	2_1;1_1	80_280;100_200	-1
10004	1	忍者小队	5_1	2_101552	1500	100002	6	2	210	叛忍水木	6_1;2_1;8_1	2_101553;2_100002;2_100002	1500;1000;1000	100003;110003;900008	5;5;5	1;4;8	300;0;200	-1
10004	2	-1	5_0;7_1	2_101552;1_10041	1000;2000	110003;500020	6;6_2_8	1;1_2_2	210;280_460_460	-1	6_0;2_0;8_0	2_101553;2_100002;2_100002	1290;1000;1000	100003;900008;300000	5_7;7;7	1_1;1;1	300_250;160;160	103
10004	3	-1	5_0;7_0	2_101552;1_10041	700;1630	100002;500020	6;6_2_8	1;1_2_2	480;320_540_540	-1	6_0;2_0;8_0	2_101553;2_100002;2_100002	800;540;540	100003;300000;110003	5_7;7;7	1_1;1;1	300_250;160;160	-1
10005	1	忍者小队	5_1;7_1	2_100003;1_10041	1000;2000	500022;800004	6;6_2_8	1;4_1_1	210;0_360_360	后宫之术	6_1;2_1;8_1	2_101882;2_100448;2_100448	1500;1000;1000	200002;100002;900008	5_7;7;7	1_1;1;1	300_240;160;150	104
10005	2	-1	5_0;7_0	2_100003;1_10041	700;1450	500022;500020	6;6_2_8	1;1_2_2	210;280_340_340	-1	6_0;2_0;8_0	2_101882;2_100448;2_100448	1290;640;640	300000;900008;200001	5_7;7;7	1_1;1;1	220_260;120;120	-1
10005	3	-1	5_0;7_0	2_100003;1_10041	450;950	500022;800004	6;6_2_8	1;1_2_2	440;360_300_300	-1	6_0;2_0;8_0	2_101882;2_100448;2_100448	800;300;300	200001;100001;100001	5_7;7;7	1_1;1;1	200_80;120;100	-1
12379	1	忍者小队	5_1	1_10118	5000	800005	6	2	865	宇智波鼬	6_1;5_1	1_10004;1_10023	20000;18000	500011;220004	5;5	2;1	1786;214	106
12379	2	-1	5_0;7_1	1_10118;1_10012	3000;20000	800005;230009	6;6_5	1;1_2	835;8365_10865	-1	6_0;5_0	1_10004;1_10023	19135;18000	500011;220004	5_7;7	1_1;1	869_7426;3574	107
12379	3	-1	5_0;7_0	1_10118;1_10012	2131;9000	800005;800004	6;6_5	1;2_1	935;9000_7135	-1	6_0;5_0	1_10004;1_10023	9935;7135	320009;220004	5_7;7	2_1;1	869_7426;3574	-1
