掌门等级	升级所需威望	出战弟子上限	弟子等级上限	装备强化等级上限	战斗威望获取	升级元宝奖励	升级奖励2	升级奖励3
dengJi	weiWang	shangZhenRenShu	diZiDengJi	qiangHuaDengJi	giveExp	reward1	reward2	reward3
1	10	2	13	3	10	5	1099	-1
2	20	2	16	6	20	5	1306	-1
3	60	2	19	9	30	5	1591	-1
4	120	2	22	12	40	5	1942	-1
5	200	2	25	15	50	5	2350	-1
6	300	3	28	18	60	5	2815	-1
7	420	3	31	21	70	5	3328	-1
8	480	3	34	24	80	5	3892	-1
9	630	3	37	27	90	5	4498	-1
10	700	4	40	30	100	5	5149	-1
11	880	4	43	33	110	5	5839	-1
12	1080	4	46	36	120	5	6571	-1
13	1560	4	49	39	130	5	7342	-1
14	2380	4	52	42	140	5	8152	-1
15	3300	4	55	45	150	5	8995	-1
16	3840	5	58	48	160	5	9874	-1
17	4250	5	61	51	170	5	10789	-1
18	4500	5	64	54	180	5	11740	-1
19	4940	5	67	57	190	5	12721	-1
20	5400	5	70	60	200	5	13735	-1
21	5880	5	73	63	210	5	14782	-1
22	6380	6	76	66	220	5	15859	-1
23	6900	6	79	69	230	5	16966	-1
24	7440	6	82	72	240	5	18106	-1
25	8000	6	85	75	250	5	19273	-1
26	8840	6	88	78	260	5	20470	-1
27	9450	6	91	81	270	5	21697	-1
28	10080	6	94	84	280	5	22951	-1
29	10730	6	97	87	290	5	24235	-1
30	11400	7	100	90	300	5	25546	-1
31	12090	7	103	93	310	5	26881	-1
32	12800	7	106	96	320	5	28246	-1
33	13530	7	109	99	330	5	29638	-1
34	14280	7	112	102	340	5	31054	-1
35	15050	7	115	105	350	5	32497	-1
36	15840	7	118	108	360	5	33967	-1
37	18130	7	121	111	370	5	35461	-1
38	24320	7	124	114	380	5	36982	-1
39	34710	7	127	117	390	5	38524	-1
40	49600	7	130	120	400	5	40096	-1
41	69290	7	133	123	410	5	41689	-1
42	94080	7	136	126	420	5	43306	-1
43	124270	7	139	129	430	5	44947	-1
44	160160	7	142	132	440	5	46612	-1
45	202050	7	145	135	450	5	48301	-1
46	250240	7	148	138	460	5	50014	-1
47	305030	7	151	141	470	5	51751	-1
48	366720	7	154	144	480	5	53509	-1
49	435610	7	157	147	490	5	55291	-1
50	512000	7	160	150	500	5	57094	-1
51	596190	7	163	153	510	5	71367	-1
52	688480	7	166	156	520	5	89208	-1
53	789170	7	169	159	530	5	111510	-1
54	898560	7	172	162	540	5	139387	-1
55	1215500	7	175	165	550	5	174233	-1
56	1592640	7	178	168	560	5	217791	-1
57	2036040	7	181	171	570	5	272238	-1
58	2832720	7	184	174	580	5	340297	-1
59	3459170	7	187	177	590	5	425371	-1
60	4173600	7	190	180	600	5	531713	-1
