编号	类型(1:排名争霸；2：等级）	领取条件（排名&论剑等级值）	奖励名额	奖励
id	type	condition	totalNum	item
1	1	1	3	11000002_3;11000019_10;11000003_50
2	1	5	25	11000002_2;11000019_8;11000003_35
3	1	10	50	11000002_1;11000019_7;11000003_30
4	1	50	250	11000002_1;11000019_6;11000003_25
5	1	100	500	11000002_1;11000019_5;11000003_20
6	1	500	500	11000002_1;11000019_4;11000003_15
7	1	1000	500	11000002_1;11000019_3;11000003_10
8	2	10	500	11000008_5;11000003_10;11000020_4
9	2	20	500	1300012_1;11000003_10;11000020_6
10	2	30	250	5300012_1;11000003_15;11000020_7
11	2	40	50	2300009_1;11000003_20;11000020_8
12	2	50	25	1400006_1;11000003_20;11000020_9
13	2	60	5	1400010_1;11000003_30;11000020_12
