弟子ID	弟子名	极品推荐(B/A/S套装ID)	终极推荐（套装ID）	终极推荐（缘分装备ID）	率品质装备
id	name	jipintuijianID	zhongjituijianID	yuanfenzhuangbei	lvpinzhiID
10000	六道仙人	1250000001;1350000001;1450000006	1450000006	-1	1200005;2100010;3200006;4200003;5100002
10001	九尾鸣人	1250000001;1350000003;1450000002	1450000002	-1	1200005;2100010;3200006;4200003;5100002
10002	宇智波斑	1250000001;1350000001;1450000001	1450000001	-1	1200005;2100010;3200006;4200003;5100002
10003	千手柱间	1250000001;1350000003;1450000002	1450000002	-1	1200005;2100010;3200006;4200003;5100002
10004	宇智波鼬	1250000001;1350000001;1450000003	1450000003	-1	1200005;2100010;3200006;4200003;5100002
10005	长门	1250000001;1350000003;1450000002	1450000002	-1	1200005;2100010;3200006;4200003;5100002
10006	宇智波佐助	1250000001;1350000001;1450000003	1450000003	3400012	1200005;2100010;3200006;4200003;5100002
10007	波风水门	1250000001;1350000003;1450000002	1450000002	-1	1200005;2100010;3200006;4200003;5100002
10008	宇智波止水	1250000001;1350000001;1350000003	1350000003	-1	1200005;2100010;3200006;4200003;5100002
10009	大蛇丸	1250000001;1350000003;1450000003	1450000003	-1	1200005;2100010;3200006;4200003;5100002
10010	我爱罗	1250000001;1350000003;1450000006	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10011	赤砂之蝎	1250000001;1350000003;1450000003	1450000003	-1	1200002;2100010;3200006;4100002;5100002
10012	自来也	1250000001;1350000003;1450000002	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10013	千手扉间	1250000001;1350000003;1450000002	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10014	奇拉比	1250000001;1350000003;1450000002	1450000002	1400005;5400009	1200002;2100010;3200006;4100002;5100002
10015	四代雷影	1250000001;1350000001;1450000002	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10016	大轩	1250000001;1350000001;1450000002	1450000002	5400008	1200005;2100010;3200006;4200003;5100002
10017	猿飞日斩	1250000001;1350000001;1450000002	1450000002	1400001;3300013	1200005;2100010;3200006;4200003;5100002
10018	千手纲手	1250000001;1350000001;1450000002	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10019	照美冥	1250000001;1350000001;1450000002	1450000002	2400011;5400010	1200002;2100010;3200006;4100002;5100002
10020	阿凯	1250000001;1350000001;1450000004	1450000004	-1	1200002;2100010;3200006;4100002;5100002
10021	桃地再不斩	1250000001;1350000001;1450000002	1450000002	1400004	1200002;2100010;3200006;4100002;5100002
10022	飞段	1250000001;1350000003;1450000003	1450000003	-1	1200002;2100010;3200006;4100002;5100002
10023	干柿鬼鲛	1250000001;1350000001;1450000003	1450000003	-1	1200002;2100010;3200006;4100002;5100002
10024	角都	1250000001;1350000003;1450000003	1450000003	-1	1200002;2100010;3200006;4100002;5100002
10025	绝	1250000001;1350000001;1450000003	1450000003	-1	1200002;2100010;3200006;4100002;5100002
10026	小南	1250000001;1350000003;1450000003	1450000003	-1	1200002;2100010;3200006;4100002;5100002
10027	迪达拉	1250000001;1350000001;1450000003	1450000003	-1	1200002;2100010;3200006;4100002;5100002
10028	猿飞阿斯马	1250000001;1350000003;1450000003	1450000002	-1	1200005;2100010;3200006;4200003;5100002
10029	日向日足	1250000001;1350000001;1350000001	1350000001	-1	1200002;2100010;3200006;4100002;5100002
10030	山椒鱼半藏	1250000001;1350000003;1350000001	1450000002	1300003;5400001	1200005;2100010;3200006;4200003;5100002
10031	志村团藏	1250000001;1350000003;1450000002	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10032	金角	1250000001;1350000003;1350000001	1450000002	1500004;2300014	1200005;2100010;3200006;4200003;5100002
10033	银角	1250000001;1350000003;1450000006	1450000006	-1	1200002;2100010;3200006;4100002;5100002
10034	天秤重吾	1250000001;1350000003;1350000001	1450000002	-1	1200005;2100010;3200006;4200003;5100002
10035	鬼灯水月	1250000001;1350000003;1350000001	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10036	君麻吕	1250000001;1350000001;1350000001	1450000002	2300003	1200005;2100010;3200006;4200003;5100002
10037	白	1250000001;1350000001;1350000001	1450000002	2400002;2300006	1200002;2100010;3200006;4100002;5100002
10038	旗木卡卡西	1250000001;1350000001;1350000001	1450000002	3400002;1400002	1200005;2100010;3200006;4200003;5100002
10039	佩恩	1250000001;1350000001;1350000001	1450000002	2300010;1300013	1200005;2100010;3200006;4200003;5100002
10040	宇智波带土	1250000001;1350000001;1450000001	1450000001	-1	1200005;2100010;3200006;4200003;5100002
10041	漩涡鸣人	1250000001;1350000001;1350000001	1450000002	1300001;3400010	1200002;2100010;3200006;4100002;5100002
10042	日向日差	1250000001;1350000001;1350000001	1350000001	-1	1200002;2100010;3200006;4100002;5100002
10044	矢仓	1250000001;1350000003;1350000001	1450000002	5400010	1200005;2100010;3200006;4200003;5100002
10045	漩涡玖辛奈	1250000001;1350000001;1450000002	1450000002	-1	1100002;2100010;3100001;4100002;5100002
10046	奈良鹿丸	1250000001;1350000003;1250000001	1250000001	-1	1100002;2100010;3100001;4100002;5100002
10047	秋道丁次	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10048	山中井野	1250000001;1250000001;1250000001	1250000001	-1	1100002;2100010;3100001;4100002;5100002
10049	李洛克	1250000001;1350000001;1450000004	1450000004	-1	1100002;2100010;3100001;4100002;5100002
10050	日向宁次	1250000001;1350000003;1450000003	1350000001	5300006	1100002;2100010;3100001;4100002;5100002
10051	天天	1250000001;1350000001;1450000003	1350000001	1300013	1100002;2100010;3100001;4100002;5100002
10052	赤土	1250000001;1350000003;1450000003	1350000001	2300005;4200008;5200004	1100002;2100010;3100001;4100002;5100002
10053	黑土	1250000001;1350000003;1450000003	1350000001	2200004;4300001	1100002;2100010;3100001;4100002;5100002
10054	手鞠	1250000001;1350000003;1450000002	1350000001	1400011;2200004;4200007	1100002;2100010;3100001;4100002;5100002
10055	勘九郎	1250000001;1350000003;1450000002	1350000001	2300005;5100002;4300002	1100002;2100010;3100001;4100002;5100002
10056	鬼灯满月	1250000001;1350000003;1450000002	1350000001	1500003	1100002;2100010;3100001;4100002;5100002
10057	弥彦	1250000001;1350000003;1450000003	1450000003	-1	1100002;2100010;3100001;4100002;5100002
10058	千手板间	1250000001;1350000001;1450000002	1350000001	4100002;4300002;5300008	1100002;2100010;3100001;4100002;5100002
10059	萨姆依	1250000001;1350000001;1450000002	1350000001	2300014;5400005;1400012	1100002;2100010;3100001;4100002;5100002
10060	夕日红	1250000001;1350000001;1450000002	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10061	佐井	1250000001;1350000001;1350000003	1350000003	-1	1100002;2100010;3100001;4100002;5100002
10062	老紫	1250000001;1350000001;1450000002	1350000003	3300001;3300001;5300002	1100002;2100010;3100001;4100002;5100002
10063	油女志乃	1250000001;1350000001;1450000002	1350000003	3200005;3200005;4100005	1100002;2100010;3100001;4100002;5100002
10064	长十郎	1250000001;1350000001;1450000002	1350000003	2300006;4400004;4300001;1500003	1100002;2100010;3100001;4100002;5100002
10065	无梨甚八	1250000001;1350000003;1450000002	1350000003	1500002	1100002;2100010;3100001;4100002;5100002
10066	御手洗红豆	1250000001;1350000001;1450000003	1350000003	2300015	1100002;2100010;3100001;4100002;5100002
10067	犬冢牙	1250000001;1350000003;1450000003	1350000003	-1	1100002;2100010;3100001;4100002;5100002
10068	达鲁伊	1250000001;1350000001;1450000003	1350000003	5400001	1100002;2100010;3100001;4100002;5100002
10069	栗霰串丸	1250000001;1350000003;1450000003	1350000003	1500001;2300006	1100002;2100010;3100001;4100002;5100002
10070	西瓜山河豚鬼	1250000001;1350000001;1450000003	1350000003	1400005	1100002;2100010;3100001;4100002;5100002
10071	通草野饵人	1250000001;1350000003;1450000003	1350000003	1400013	1100002;2100010;3100001;4100002;5100002
10072	羽高	1250000001;1350000001;1450000003	1350000003	-1	1100002;2100010;3100001;4100002;5100002
