相对概率组	弟子ID	弟子名	相对概率1（用于决定刷新出现）	相对概率2（用于决定抽取魂魄）
quality	diZiId	name	percentA	percentB
4	10000	六道仙人	0	0
4	10001	九尾鸣人	0	0
4	10002	宇智波斑	0	0
4	10003	千手柱间	0	0
4	10004	宇智波鼬	15	5
4	10005	长门	15	8
4	10006	宇智波佐助	0	0
4	10007	波风水门	0	0
4	10008	宇智波止水	0	0
4	10009	大蛇丸	15	8
4	10010	我爱罗	15	10
4	10011	赤砂之蝎	15	10
4	10012	自来也	10	5
4	10013	千手扉间	15	10
4	10014	奇拉比	15	10
4	10015	四代雷影	15	5
4	10016	大轩	15	10
4	10017	猿飞日斩	10	10
4	10018	千手纲手	15	5
4	10019	照美冥	10	8
4	10020	阿凯	15	5
4	10021	桃地再不斩	30	10
4	10022	飞段	15	10
4	10023	干柿鬼鲛	15	10
4	10024	角都	15	10
4	10025	绝	15	10
4	10026	小南	15	10
4	10027	迪达拉	15	10
4	10028	猿飞阿斯马	30	10
4	10123	三代雷影	0	0
3	10029	日向日足	0	0
4	10030	山椒鱼半藏	0	0
4	10031	志村团藏	0	0
4	10032	金角	0	0
4	10033	银角	0	0
4	10034	天秤重吾	30	10
4	10035	鬼灯水月	30	10
4	10036	君麻吕	30	10
4	10037	白	30	10
4	10038	旗木卡卡西	30	10
4	10039	佩恩	0	10
4	10040	宇智波带土	10	5
4	10041	漩涡鸣人	15	10
3	10042	日向日差	0	20
4	10044	矢仓	30	10
4	10121	宇智波止水	15	10
3	10045	旋涡玖辛奈	0	0
3	10046	奈良鹿丸	350	40
3	10047	秋道丁次	500	40
3	10048	山中井野	350	40
3	10049	李洛克	100	25
3	10050	日向宁次	100	25
3	10051	天天	300	40
3	10052	赤土	0	40
3	10053	黑土	0	40
3	10054	手鞠	300	40
3	10055	勘九郎	300	40
3	10056	鬼灯满月	350	40
3	10057	弥彦	0	40
3	10058	千手板间	0	40
3	10059	萨姆依	350	40
3	10060	夕日红	350	25
3	10061	佐井	350	40
3	10062	老紫	0	40
3	10063	油女志乃	700	40
3	10064	长十郎	0	40
3	10065	无梨甚八	0	40
3	10066	御手洗红豆	350	40
3	10067	犬冢牙	300	40
3	10068	达鲁伊	0	40
3	10069	栗霰串丸	0	40
3	10070	西瓜山河豚鬼	0	40
3	10071	通草野饵人	0	40
3	10072	羽高	0	40
3	10073	并足雷同	0	40
3	10074	油女志薇	0	40
3	10075	日向雏田	350	25
3	10076	千代婆婆	100	25
3	10077	多由也	700	40
3	10078	次郎坊	300	40
3	10079	宇智波富岳	0	40
3	10080	不知火玄间	0	40
3	10081	黑锄雷牙	0	40
3	10082	鬼童丸	300	40
3	10083	月光疾风 	0	40
3	10084	左近右近	0	40
3	10085	伊鲁卡	300	40
3	10086	琳	0	40
3	10088	马基	1000	40
3	10118	小樱	500	40
3	10122	雏田	0	0
3	10128	惠比寿	300	40
