关卡ID	关卡名	前序关卡ID	副本列表	普通副本列表	高手列表	宗师列表	世界地图坐标	开启难度	建议等级	关卡类型（1 为主线关卡。 活动的随做随加）	普通难度满星奖励	高手难度满星奖励	宗师难度满星奖励
id	name	preorderId	fuBenList	puTongLine	gaoShouLine	zongShiLine	mapCoordinates	difficulty	suggest	leiXing	starsAward_1	starsAward_2	starsAward_3
1	封印之书	-1	23	10000;10001;10002;10003;12379;10004	-1	-1	-856_64_-5,-10_0_-0.5,402_260_0,451_277_1,50_0_0	1;2;3	1_2	1	13000002_5000;13000006_1	-1	-1
2	第七班	1	2	10005;10006;10007;10008;10009;10010;10011	-1	-1	-877_-165_-5,-18_-8.5_-0.5,427_262_0,481_291_1,84_-16_0	1;2;3	2_3	1	13000002_10000;13000006_1	-1	-1
3	保卫大桥	2	14	10012;10013;10014;10015;10016;10017;10018;10019;10020	11000;11001;11002;11003;11004;11005;11006;11007;11008;11009	-1	-565_-60_-5,0_0_-0.5,310_177_0,342_204_1,75_0_0	1;2;3	3_5;5_8	1	13000002_20000;13000006_1	13000001_50;14300002_1;11000011_2	-1
4	中忍考试	3	11	10021;10022;10023;10024;10025;10026;10027;10028;10029;10030	11010;11011;11012;11013;11014;11015;11016;11017;11018;11019;11020;11021	-1	-277.6_65_-5,10_5_-0.5,350_290_0,432_353_1,55_-20_0	1;2;3	5_7;8_11	1	13000002_30000;13000006_1	13000001_50;14300002_1;11000011_2	-1
5	毁灭计划	4	8	10031;10032;10033;10034;10035;10036;10037;10038;10039;10040	11022;11023;11024;11025;11026;11027;11028;11029;11030;11031;11032;11033	12014;12015;12016;12017;12018;12019;12020;12021;12022;12023;12024;12025;12026;12027	97_33_-5,-20_10_-0.5,350_232_0,502_329_1,76_0_0	1;2;3	8_11;12_17;18_25	1	13000002_40000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
6	一尾惊现	5	15	10041;10042;10043;10044;10045;10046;10047;10048;10049;10050	11034;11035;11036;11037;11038;11039;11040;11041;11042;11043;11044;11045	12028;12029;12030;12031;12032;12033;12034;12035;12036;12037;12038;12039;12040;12041	121.5_-175.7_-5,15_0_-0.5,470_232_0,605_267_1,0_-15_0	1;2;3	11_14;17_21;25_32	1	13000002_50000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
7	寻找纲手	6	0	10051;10052;10053;10054;10055;10056;10057;10058;10059;10060;10061;10062	11046;11047;11048;11049;11050;11051;11052;11053;11054;11055;11056;11057;11058;11059	12042;12043;12044;12045;12046;12047;12048;12049;12050;12051;12052;12053;12054;12055;12056;12057	520_-128_-5,0_-22_-0.5,400_259_0,444_315_1,80_-40_0	1;2;3	14_17;21_26;32_38	1	13000002_60000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
8	佐助离去	7	18	10063;10064;10065;10066;10067;10068;10069;10070;10071;10072;10073;10074	11060;11061;11062;11063;11064;11065;11066;11067;11068;11069;11070;11071;11072;11073	12058;12059;12060;12061;12062;12063;12064;12065;12066;12067;12068;12069;12070;12071;12072;12073	660_100_-5,40_50_-0.5,450_260_0,607_444_1,0_-83_0	1;2;3	17_20;26_30;38_45	1	13000002_70000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
9	黑锄雷刀	8	27	10075;10076;10077;10078;10079;10080;10081;10082;10083;10084;10085;10086	11074;11075;11076;11077;11078;11079;11080;11081;11082;11083;11084;11085;11086;11087	12074;12075;12076;12077;12078;12079;12080;12081;12082;12083;12084;12085;12086;12087;12088;12089	1100.8_65_-5,-12_40_-0.5,450_250_0,556_340_1,66_-30_0	1;2;3	20_23;30_35;45_52	1	13000002_80000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
10	力量组合	9	13	10087;10088;10089;10090;10091;10092;10093;10094;10095;10096;10097;10098	11088;11089;11090;11091;11092;11093;11094;11095;11096;11097;11098;11099;11100;11101	12090;12091;12092;12093;12094;12095;12096;12097;12098;12099;12100;12101;12102;12103;12104;12105	1081_-159_-5,17_0_-0.5,450_272_0,560_289_1,-30_-20_0	1;2;3	24_27;36_41;54_60	1	13000002_90000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
11	艺术组合	10	10	10099;10100;10101;10102;10103;10104;10105;10106;10107;10108;10109;10110;10111;10112;10113	11102;11103;11104;11105;11106;11107;11108;11109;11110;11111;11112;11113;11114;11115;11116;11117;11118;11119	12106;12107;12108;12109;12110;12111;12112;12113;12114;12115;12116;12117;12118;12119;12120;12121;12122;12123;12124;12125	1416_-115_-5,0_-20_-0.5,380_290_0,424_339_1,70_-40_0	1;2;3	28_31;42_47;60_60	1	13000002_100000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
12	大蛇巢穴	11	26	10114;10115;10116;10117;10118;10119;10120;10121;10122;10123;10124;10125;10126;10127;10128	11120;11121;11122;11123;11124;11125;11126;11127;11128;11129;11130;11131;11132;11133;11134;11135;11136;11137	12126;12127;12128;12129;12130;12131;12132;12133;12134;12135;12136;12137;12138;12139;12140;12141;12142;12143;12144;12145	1605.5_71_-5,0_10_-0.5,350_290_0,497_374_1,100_-50_0	1;2;3	32_35;48_53;60_60	1	13000002_110000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
13	不死组合	12	7	10129;10130;10131;10132;10133;10134;10135;10136;10137;10138;10139;10140;10141;10142;10143	11138;11139;11140;11141;11142;11143;11144;11145;11146;11147;11148;11149;11150;11151;11152;11153;11154;11155	12146;12147;12148;12149;12150;12151;12152;12153;12154;12155;12156;12157;12158;12159;12160;12161;12162;12163;12164;12165	2012_47_-5,0_20_-0.5,350_250_0,572_373_1,45_-20_0	1;2;3	36_39;54_59;60_60	1	13000002_120000;13000006_1	13000001_50;14300002_1;11000011_2	13000001_150;14400003_1;11000001_2
