缘分ID	缘分名	缘分类型（5弟子缘分 7装备缘分 6技能缘分 4阵法缘分）	达成条件	属性加成
id	name	leiXing	tiaoJian	jiaCheng
10000	六道后裔	5	10000;10002;10003;10001;10006	baseWuLiPerAdd:0.58
10001	晓之宇智	5	10002;10004;10006	baseShenFaPerAdd:0.3
10002	森之千手	5	10003;10013;10018	baseNeiLiPerAdd:0.25
10003	神使力量	5	10025;10004;10023;10039;10040	baseBaoJiAdd:167
10004	赐于不死	5	10004;10022	baseWuLiPerAdd:0.19
10005	拜师学艺	5	10005;10012	baseHuiXinAdd:49
10006	摧毁木叶	5	10005;10009	baseWuLiPerAdd:0.19
10007	千鸟传承	5	10006;10038	baseShanBiAdd:40
10008	七班羁绊	5	10120;10041;10038;10118	baseBaoJiAdd:107
10009	宇智波一族	5	10002;10004;10006;10040	baseWuLiPerAdd:0.46
10010	鹰小队	5	10006;10034;10035;10119	baseWuLiPerAdd:0.45
10011	一家三口	5	10007;10041;10045	baseHuiXinAdd:73
10012	传说三忍	5	10009;10012;10018	baseShenFaPerAdd:0.22
10013	黑暗之始	5	10120;10009	baseBaoJiAdd:49
10014	砂隐三帅	5	10010;10054;10055	baseShenFaPerAdd:0.21
10015	导师之情	5	10088;10010	baseWuLiPerAdd:0.14
10016	不死艺术	5	10011;10023;10025;10027;10024	baseNeiLiPerAdd:0.78
10017	祖孙二人	5	10011;10076	baseWuLiPerAdd:0.19
10018	好色仙人	5	10012;10041	baseNeiLiPerAdd:0.19
10019	恶战之时	5	10013;10032;10033	baseNeiLiPerAdd:0.26
10020	火影师徒	5	10013;10017	baseWuLiPerAdd:0.15
10021	争夺宝刀	5	10014;10023	baseWuLiPerAdd:0.16
10022	兄弟情深	5	10014;10015	baseShenFaPerAdd:0.14
10023	雷影护卫	5	10068;10015	baseShenFaPerAdd:0.19
10024	不肖弟子	5	10016;10027	baseShenFaPerAdd:0.14
10025	土影护卫	5	10016;10052;10053	baseBaoJiAdd:120
10026	火之意志	5	10003;10013;10018;10007;10017	baseNeiLiPerAdd:0.69
10027	水之传承	5	10019;10044	baseHuiXinAdd:49
10028	结束统治	5	10019;10040	baseWuLiPerAdd:0.14
10029	一脚之仇	5	10020;10023	baseBaoJiAdd:49
10030	友谊之情	5	10038;10020	baseFangYuPerAdd:0.26
10031	忍刀七人众	5	10021;10056;10069;10071;10065;10090;10070	baseWuLiPerAdd:1.39
10032	忍刀传承	5	10021;10035	baseWuLiPerAdd:0.26
10033	邪神信仰	5	10022;10040	baseNeiLiPerAdd:0.24
10034	白色折纸	5	10025;10026	baseBaoJiAdd:49
10035	神使组合	5	10026;10005	baseNeiLiPerAdd:0.15
10036	千鹤艺术	5	10026;10027	baseWuLiPerAdd:0.19
10037	父子之情	5	10028;10017	baseWuLiPerAdd:0.19
10038	青出于蓝	5	10046;10047;10048;10028	baseFangYuPerAdd:0.29
10039	日向一族	5	10029;10042;10050;10075	baseWuLiPerAdd:0.29
10040	兄弟情深	5	10029;10042	baseWuLiPerAdd:0.19
10041	狼狈为奸	5	10030;10031	baseWuLiPerAdd:0.19
10042	背信弃义	5	10030;10005	baseWuLiPerAdd:0.19
10043	不死不休	5	10030;10108	baseWuLiPerAdd:0.14
10044	好基友	5	10036;10034	baseShenFaPerAdd:0.21
10045	鬼灯兄弟	5	10035;10056	baseMingZhongAdd:43
10046	初次交锋	5	10068;10035	baseBaoJiAdd:39
10047	小伙伴	5	10021;10037	baseWuLiPerAdd:0.19
10048	三班羁绊	5	10020;10049;10050;10051	baseWuLiPerAdd:0.33
10049	八班羁绊	5	10060;10063;10067;10075	baseFangYuPerAdd:0.29
10050	音忍五人众	5	10077;10078;10082;10084;10036	baseHpPerAdd:0.4
10051	木叶暗部 	5	10008;10031;10061;10136	baseShenFaPerAdd:0.3
10052	乱起绰号	5	10061;10118	baseShenFaPerAdd:0.21
10053	油女父子	5	10074;10063	baseShenFaPerAdd:0.21
10054	父女情深	5	10114;10053	baseShenFaPerAdd:0.1
10055	会场大乱	5	10080;10088	baseShenFaPerAdd:0.14
10056	说不清	5	10086;10038	baseShanBiAdd:40
10057	对战四人众	5	10073;10080	baseNeiLiPerAdd:0.17
10058	爱子深情	5	10079;10004	baseWuLiPerAdd:0.14
10059	凄凉身世	5	10081;10117	baseShenFaPerAdd:0.14
10060	忍刀传承	5	10056;10064	baseShenFaPerAdd:0.19
10061	中忍考官	5	10080;10083;10066	baseWuLiPerAdd:0.19
10062	佩恩六道	5	10108;10109;10110;10111;10112;10113;10005	baseWuLiPerAdd:1.85
10063	守护忍十二士	5	10091;10092;10093;10094;10094;10096;10097	baseWuLiPerAdd:1.03
10064	同一时代	5	10098;10099;10100;10101;10073;10079	baseWuLiPerAdd:0.69
10065	千手雏鹰	5	10058;10102	baseBaoJiAdd:72
10066	萨姆伊小队	5	10104;10105;10106;10059	baseBaoJiAdd:107
10067	血继限界	5	10115;10116;10117	baseHpPerAdd:0.22
10068	传授忍术	5	10087;10041	baseWuLiPerAdd:0.19
10069	慧眼识珠	5	10085;10041	baseWuLiPerAdd:0.19
10070	一剑之仇	5	10023;10062	baseHpPerAdd:0.14
10071	团藏右眼	5	10121;10031	baseShenFaPerAdd:0.14
10072	青玉组合	5	10011;10027	baseWuLiPerAdd:0.14
10073	青春热血	5	10020;10049	baseWuLiPerAdd:0.19
10074	生死相随	5	10021;10037	baseShenFaPerAdd:0.19
10075	不死二人组	5	10022;10024	baseWuLiPerAdd:0.19
10076	相依为命	5	10005;10057;10026	baseBaoJiAdd:49
10077	超越目标	5	10118;10018	baseNeiLiPerAdd:0.14
10078	昙花一现	5	10083;10088	baseHpPerAdd:0.14
10079	危机之战	5	10067;10084	baseWuLiPerAdd:0.14
10080	佩恩入侵	5	10067;10112	baseShenFaPerAdd:0.14
10081	阴险老师	5	10066;10009	baseWuLiPerAdd:0.17
10082	好友之情	5	10066;10060	baseHpPerAdd:0.17
10083	师徒情深	5	10028;10046	baseMingZhongAdd:40
10084	危机时刻	5	10054;10046	baseHpPerAdd:0.17
10085	少年好友	5	10046;10047	baseHpPerAdd:0.12
10086	生死一线	5	10047;10078	baseShenFaPerAdd:0.19
10087	初次交锋	5	10068;10035	baseHpPerAdd:0.17
10088	一见钟情	5	10118;10049	baseWuLiPerAdd:0.14
10089	悉心传教	5	10088;10055	baseShenFaPerAdd:0.14
10090	掌控者	5	10109;10108	baseHpPerAdd:0.12
10091	姐妹情深	5	10115;10075	baseHpPerAdd:0.12
11000	言灵诅咒	7	1500004	baseShenFaPerAdd:0.64
11001	属性风暴	7	1500005	baseWuLiPerAdd:0.46
11002	物归原主	7	1500006	baseNeiLiPerAdd:0.12
11003	驱赶言灵	7	1500007	baseShenFaPerAdd:0.64
11004	琥珀净瓶	7	1500008	baseHpPerAdd:0.28
11005	最佳面具	7	2400004	baseHuiXinAdd:48
11006	忍者之神	7	4400010	baseHuiXinAdd:45
11007	不败战衣	7	3400004	baseFangYuPerAdd:0.19
11008	大卷轴	7	1300001	baseNeiLiPerAdd:0.23
11009	火影铠甲	7	3300013	baseHuiXinAdd:45
11010	草薙剑	7	1300014	baseShenFaPerAdd:0.12
11011	神剑共生	7	1300014	baseNeiLiPerAdd:0.23
11012	晓之朱雀	7	4400005	baseNeiLiPerAdd:0.14
11013	漆黑之袍	7	3400008	baseHpPerAdd:0.15
11014	五代水影	7	2400011	baseFangYuPerAdd:0.14
11015	水影战靴	7	5400010	baseNeiLiPerAdd:0.15
11016	身份象征	7	3400012	baseFangYuPerAdd:0.19
11017	四代披风	7	3400010	baseShenFaPerAdd:0.19
11018	写轮眼团扇	7	1500009	baseMingZhongAdd:48
11019	暗部风衣	7	3300004	baseWuLiPerAdd:0.13
11020	砂葫芦	7	1500006	baseNeiLiPerAdd:0.24
11021	相思武器	7	1500006	baseNeiLiPerAdd:0.24
11022	砂之铠甲	6	430003	baseShenFaPerAdd:0.14
11023	晓之玉女	7	4400005	baseNeiLiPerAdd:0.24
11024	砂铁防御	7	2300011	baseHpPerAdd:0.13
11025	亲热天堂	7	1400002	baseHpPerAdd:0.1
11026	晓之南斗	7	4400005	baseNeiLiPerAdd:0.24
11027	晓之空陈	7	4400005	baseNeiLiPerAdd:0.24
11028	晓之玄武	7	4400005	baseNeiLiPerAdd:0.24
11029	晓之白虎	7	4400005	baseNeiLiPerAdd:0.24
11030	晓之青龙	7	4400005	baseNeiLiPerAdd:0.24
11031	雷神之剑	7	1400010	baseNeiLiPerAdd:0.26
11032	宝刀认主	7	1400005	baseWuLiPerAdd:0.13
11033	是为雷影	7	2400009	baseBaoJiAdd:48
11034	大刀鲛肌	7	1400005	baseMingZhongAdd:48
11035	土影战靴	7	5400008	baseBaoJiAdd:48
11036	岩忍护额	7	2300013	baseWuLiPerAdd:0.19
11037	火之意志	7	4400001	baseNeiLiPerAdd:0.2
11038	火影战靴	7	5400012	baseWuLiPerAdd:0.16
11039	专属武器	7	1400001	baseWuLiPerAdd:0.19
11040	晓之北斗	7	4400005	baseNeiLiPerAdd:0.24
11041	晓之三台	7	4400005	baseNeiLiPerAdd:0.24
11042	雨忍护额	7	2300010	baseBaoJiAdd:48
11043	叶丸目镜	7	2400007	baseWuLiPerAdd:0.16
11044	私有面罩	7	2400002	baseFangYuPerAdd:0.19
11045	上忍披风	7	3300004	baseMingZhongAdd:48
11046	大刀斩首	7	1400004	baseNeiLiPerAdd:0.24
11047	专业工具	7	1200005	baseWuLiPerAdd:0.16
11048	邪神护体	7	4400007	baseHpPerAdd:0.15
11049	身份象征	7	3400008	baseFangYuPerAdd:0.19
11050	草忍护额	7	2300001	baseHpPerAdd:0.1
11051	这就是青春	7	3400005	baseWuLiPerAdd:0.21
11052	通关试炼	7	4100005	baseHuiXinAdd:35
11053	铃铛	7	4100010	baseFangYuPerAdd:0.14
11054	起爆符	7	1300003	baseKangBaoAdd:49
11055	代理火影	7	2400012	baseFangYuPerAdd:0.19
11056	芭蕉扇	7	1500005	baseWuLiPerAdd:0.24
11057	云忍护额	7	2300014	baseFangYuPerAdd:0.19
11058	掩饰身份	7	2400004	baseHuiXinAdd:48
11059	雾忍护额	7	2300006	baseShenFaPerAdd:0.19
11060	音忍护额	7	2300003	baseNeiLiPerAdd:0.19
11061	仙人卷轴	7	1300001	baseNeiLiPerAdd:0.24
11062	砂忍护额	7	2300005	baseHuiXinAdd:40
11063	木叶中忍	7	2200008	baseBaoJiAdd:35
11064	砂隐长老	7	2300011	baseFangYuPerAdd:0.19
11065	鬼丸刀	7	1300006	baseWuLiPerAdd:0.14
11066	雷刀·牙	7	1400012	baseNeiLiPerAdd:0.24
11067	木叶上忍	7	2300009	baseBaoJiAdd:35
