key	value	showType
#登录提示		
login.exeFailt	操作失败！	2048
login.inputError	输入的参数非法	2048
login.dbError	数据库操作失败	2048
login.dbconnect	数据库连接错误	2048
login.userIsnull	帐号不存在或未激活	2048
login.userIsNotActive	帐号不存在或未激活	2048
login.userpassError	密码错误	2048
login.userFreezed	帐号被冻结	2048
login.userRepeat	帐号正在游戏中	2048
login.unkownError	登录失败	2048
login.eratingbusy	服务器忙，请稍后重试	2048
login.nowPassError	当前密码错误	2048
login.insertUserError	新用户登录出错	2048
login.repeatLogin	正在登录，请稍候	2048
login.tooMany	同时登录的人过多，请稍候	2048
login.exsitRole	有角色<font color='#8cff8c'>%var1%</font>正在游戏中，请先退出	2048
login.timeout	链接已经失效，请返回登录页面，重新进入游戏	2048
#创建角色提示		2048
create.timeout	登录超时	2048
create.maxLimit	创建角色数已达上限	2048
create.repeatCreate	正在创建，请稍候	2048
create.repeatName	角色名已被占用	2048
create.createFault	创建角色失败	2048
create.gateError	网关错误	2048
create.roleDel	角色被保留	2048
create.roleNameTooLong	用户昵称过长	2048
#角色登陆		2048
role.error	读取人物数据出错	2048
role.repeat	角色重复登陆	2048
role.saving	数据正在保存，请稍候登陆	2048
role.timeout	登录超时	2048
role.toomanyroles	同时在线的玩家过多	2048
role.dataError	玩家数据异常	2048
#系统提示		
system.unknow	春的点点点！	2048
system.innerr	[内部错误]%var1%	2048
system.dbfault	数据中心连接异常	2048
system.dcFault	从数据中心读取数据失败	2048
system.timeout	登录超时	2048
system.getConnectionTimeout	得到连接%var1%超时	2048
system.getdataTimeout	得到连接%var1%超时	2048
system.dataError	玩家数据错误	2048
system.clientError	客户端数据异常	2048
system.starting	服务器正在启动，请稍候	2048
system.banName	您昵称中的<font color='#8cff8c'>%var1%</font>，被禁止使用，请尝试其他角色名	2048
system.banStr	对不起，不能包含特殊字符	2048
system.onlive	对不起，对方不在线	2048
system.upVer	%var1%服务器将于%var2%--%var3%时间进行更新维护，请您提前做好下线准备，避免损失。	17
system.logAwd	从没听说过么？上线就有奖励，快去<font color='#8cff8c'>%var1%</font>处查看详情吧！	17
system.upLvl	免费快速升级！免费？没错，每周您都可以在<font color='#8cff8c'>%var1%</font>处免费领取到<font color='#8cff8c'>%var2%</font>小时双倍时间经验	17
system.pla	想拥有来自西域的奇珍异宝么？打开随身商城，使用金币购买就能得到您梦寐以求的稀有道具	17
system.petIss	传说在遥远的瀛海岛，生活着很多无比强大的动物，但又无比忠诚于能够降服他们的主人	17
system.hag	暂时要离开，不想下线怎么办？去温泉泡个澡不失为一个好选择！<font color='#8cff8c'>%var1%</font>会告诉你更多的。	17
system.bceSwn	西游征程，长路漫漫，一个好汉三个帮，结交几个知己相伴是您不错的选择，快和您的好友一起去<font color='#8cff8c'>%var1%</font>处结拜吧。	17
system.jonscy	帮会，国家将为您的西游之路提供强有力的保护，还犹豫什么，快去<font color='#8cff8c'>%var1%</font>处寻找一个强大的团体一起努力吧	17
