商品ID（道具：1000001起；礼包：2000001起）	道具名称	商城/礼包(1:显示在商城页；2：显示在礼包页)	标签（-1：无标签；1：新品；2：热卖）显示顺序：新品-热卖-无标签	显示顺序（以字段为顺序显示在hot道具列表后）	物品ID	物品数量	价格类型（1：元宝；2：金钱）	价格（0：价格为0；原价;折扣价）	描述	礼包购买条件(-1:无条件限制；其他：以字段作为掌门等级限制购买)	限量（-1：不限量；1_X：以X作为每日限购数量;2_X:以X作为一辈子限购数量;3_X_XX:以X作为数量，XX作为兑换间隔时间）	需要VIP等级（-1：不需要；其他：以字段作为VIP等级限制）	周几在售(-1:每天都有；X：以X为字节控制在售)
id	name	tab	label	number	goodsid	goodsnum	pricetype	price	des	buycondition	buylimit	needvip	weekday
1000001	战鼓	1	1	1	11000001	1	1	8	更改助威属性和专属弟子	-1	-1	-1	-1
1000002	鸡血	1	-1	2	11000002	1	1	288	使用可提高修炼效果	-1	-1	-1	-1
1000003	修炼牌	1	-1	3	11000003	3	1	10	使用可刷新修炼内容	-1	-1	-1	-1
1000004	挑战符	1	-1	4	11000004	10	1	8	消耗挑战符可挑战不败神话	-1	-1	-1	-1
1000005	金宝箱	1	2	5	11000005	1	1	15;12	需要金钥匙开启，会获得随机宝物	-1	-1	4	-1
1000006	金钥匙	1	2	6	11000008	1	1	25	金钥匙可用来开启金宝箱	-1	-1	4	-1
1000007	银宝箱	1	2	7	11000006	1	1	5	需要银钥匙开启，会获得随机宝物	-1	-1	3	-1
1000008	银钥匙	1	2	8	11000009	1	1	15	银钥匙可用来开启银宝箱	-1	-1	3	-1
1000009	铜宝箱	1	-1	9	11000007	1	1	2	需要铜钥匙开启，会获得随机宝物	-1	-1	1	-1
1000010	铜钥匙	1	-1	10	11000010	1	1	5	铜钥匙可用来开启铜宝箱	-1	-1	1	-1
1000011	洗髓丹	1	-1	11	11000011	1	1	16	移经换脉时使用的道具	-1	-1	-1	-1
1000012	熔炼石	1	-1	12	11000012	1	1	18;12	熔炼石可用来重铸装备	-1	-1	-1	-1
1000013	掌门贴	1	-1	13	13000007	1	1	15	使用后可增加5次竞技机会	-1	-1	-1	-1
1000014	特效传功丹	1	-1	14	11000014	1	1	108;88	可继承散功者100%经验值	-1	-1	-1	-1
1000015	普通传功丹	1	-1	15	11000015	1	1	25;19	可继承散功者80%经验值	-1	-1	-1	-1
1000016	美酒	1	-1	16	11000025	10	1	88	用酒答谢高人可获双倍奖励	-1	-1	-1	-1
1000017	一乐拉面	1	-1	17	13000005	1	1	19	使用后可恢复10点体力	-1	-1	-1	-1
1000018	元气丹	1	-1	18	13000006	1	1	19	使用后可恢复10点元气值	-1	-1	-1	-1
1000019	当归牛肉汤	1	-1	19	11000019	1	1	28	增加50%修炼成功率	-1	-1	-1	-1
1000020	红糖水	1	-1	20	11000020	1	1	15	增加25%修炼成功率	-1	-1	-1	-1
1000021	更名令	1	-1	21	11000021	1	1	388	使用后可更改门派名称	-1	-1	-1	-1
1000024	无尘丹	1	-1	23	11000023	1	1	15	增加10点心情	-1	-1	-1	-1
1000023	清凉丹	1	-1	24	11000024	1	1	10	增加5点心情	-1	-1	-1	-1
1000022	小喇叭	1	-1	22	11000022	1	1	10	每次发言消耗1个，VIP2可购买	-1	-1	2	-1
2000001	每日登陆包	2	1	5	12000101	1	1	0	活动期间每日领取	-1	1_1	-1	-1
2000002	初入江湖包	2	1	6	12000001	1	1	300;10	仅限购买一次，快来抢购吧	10	2_1	-1	-1
2000003	小试牛刀包	2	1	7	12000002	1	1	24	点击领取礼包奖励	15	2_1	-1	-1
2000004	小伙伴礼包	2	-1	8	12000003	1	1	0	仅限购买一次，快来抢购吧	20	2_1	-1	-1
2000005	略有所成包	2	-1	9	12000004	1	1	3000;40	仅限购买一次，快来抢购吧	25	2_1	-1	-1
2000006	扬名武林包	2	-1	10	12000005	1	1	5000;100	仅限购买一次，快来抢购吧	35	2_1	-1	-1
2000007	震古烁今包	2	-1	11	12000006	1	1	8000;300	仅限购买一次，快来抢购吧	45	2_1	-1	-1
2000010	洗髓折扣包	2	-1	13	12000201	1	1	160;128	包含10个洗髓丹	-1	-1	-1	-1
2000011	勇者之心折扣包	2	-1	14	12000202	1	1	80;56	包含10个勇者之心	-1	-1	-1	-1
2000012	一串银钥匙	2	-1	15	12000203	1	1	150;120	包含10个银钥匙	-1	-1	-1	-1
3000001	小喇叭	3	-1	1	11000022	1	3	1000	每次发言消耗1个，VIP2可购买	9	3_1_24	0	-1
3000002	一乐拉面	3	-1	2	13000005	1	3	3000	使用后可恢复10点体力值	9	3_1_72	0	-1
3000003	元气丹	3	-1	3	13000006	1	3	3000	使用后可恢复10点元气值	9	3_1_72	0	-1
3000004	查克拉丸	3	-1	4	11000002	1	3	5000	用于弟子修炼提升属性	9	3_1_24	0	-1
3000005	三色丸子	3	-1	5	11000020	1	3	3800	增加25%修炼成功率	9	3_1_24	0	-1
3000006	洗髓丹	3	-1	6	11000011	1	3	3000	移经换脉时使用的道具	9	3_1_24	0	-1
3000007	火影阵	3	-1	7	1314	1	3	120000	需要花费元神兑换该物品	15	-1	0	-1
3000008	原界剥离	3	-1	8	430016	1	3	360000	需要花费元神兑换该物品	15	-1	0	-1
3000009	医之坠	3	-1	9	4300016	1	3	350000	需要花费元神兑换该物品	12	-1	0	-1
3000010	木叶上忍足具	3	-1	10	5300016	1	3	380000	需要花费元神兑换该物品	15	-1	0	-1
3000011	上忍战衣	3	-1	11	3300009	1	3	400000	需要花费元神兑换该物品	15	-1	0	-1
3000012	黑曜苦无	3	-1	12	1300009	1	3	450000	需要花费元神兑换该物品	15	-1	0	-1
3000013	水影战靴	3	-1	13	5400010	1	3	1200000	需要花费元神兑换该物品	20	2_1	2	-1
3000014	叶丸童装	3	-1	14	3400007	1	3	960000	需要花费元神兑换该物品	20	2_1	2	-1
3000015	死亡之链	3	-1	15	4400007	1	3	930000	需要花费元神兑换该物品	20	2_1	2	-1
3000016	性质兵器	3	-1	16	1400006	1	3	1440000	需要花费元神兑换该物品	20	2_1	2	-1
3000017	风之影帽	3	-1	17	2400008	1	3	1800000	需要花费元神兑换该物品	20	2_1	2	-1
3000018	爆刀·飞沫	3	-1	18	1500002	1	3	1584000	需要花费元神兑换该物品	20	2_1	4	-1
3000019	轮回天生卷轴	3	-1	19	24400002	30	3	2890000	需要花费元神兑换该物品	20	3_2_24	4	-1
2000016	火影助威包	2	-1	1	12200052	1	1	2980	限时3天，仅限购买一次，快来抢购吧	-1	2_1	-1	-1
2000017	限时神将包	2	-1	2	12200053	1	1	16980	限时3天，仅限购买一次，快来抢购吧	-1	2_1	-1	-1
