属性编号	是否为百分比加成（0 否 直接显示数值即可；如 传值 1 100 则显示 气血 +100 ；1 是百分比且显示正数，后台直接发值为百分位数 前台直接显示该值并在在前加 + 后加 % 如：后台传值2 90 显示 气血 +90% ；-1 同 1 需处理的是 将+ 变为 -  如传值 45 20 则显示 攻击时被化解概率 -20% )	前台显示	属性描述（目前只需 做基础， 当前相关的属性预留）	后台定义
ID	PER	xianShi	miaoShu	houTai
1	0	生命	基础气血	baseHpAdd
2	1	生命	基础气血百分比	baseHpPerAdd
3	0	生命	当前气血	nowHpAdd
4	1	生命	当前气血百分比	nowHpPerAdd
5	0	力量	基础武力	baseWuLiAdd
6	1	力量	基础武力百分比	baseWuLiPerAdd
7	0	力量	当前武力	nowWuLiAdd
8	1	力量	当前武力百分比	nowWuLiPerAdd
9	0	精力	基础内力	baseNeiLiAdd
10	1	精力	基础内力百分比	baseNeiLiPerAdd
11	0	精力	当前内力	nowNeiLiAdd
12	1	精力	当前内力百分比	nowNeiLiPerAdd
13	0	速度	基础身法	baseShenFaAdd
14	1	速度	基础身法百分比	baseShenFaPerAdd
15	0	速度	当前身法	nowShenFaAdd
16	1	速度	当前身法百分比	nowShenFaPerAdd
17	0	防御	基础防御	baseFangYuAdd
18	1	防御	基础防御百分比	baseFangYuPerAdd
19	0	防御	当前防御	nowFangYuAdd
20	1	防御	当前防御百分比	nowFangYuPerAdd
21	0	命中	基础命中	baseMingZhongAdd
22	1	命中	基础命中百分比	baseMingZhongPerAdd
23	0	命中	当前命中	nowMingZhongAdd
24	1	命中	当前命中百分比	nowMingZhongPerAdd
25	0	闪避	基础闪避	baseShanBiAdd
26	1	闪避	基础闪避百分比	baseShanBiPerAdd
27	0	闪避	当前闪避	nowShanBiAdd
28	1	闪避	当前闪避百分比	nowShanBiPerAdd
29	0	暴击	基础暴击	baseBaoJiAdd
30	1	暴击	基础暴击百分比	baseBaoJiPerAdd
31	0	暴击	当前暴击	nowBaoJiAdd
32	1	暴击	当前暴击百分比	nowBaoJiPerAdd
33	0	抗暴	基础抗暴	baseKangBaoAdd
34	1	抗暴	基础抗暴百分比	baseKangBaoPerAdd
35	0	抗暴	当前抗暴	nowKangBaoAdd
36	1	抗暴	当前抗暴百分比	nowKangBaoPerAdd
37	0	会心	基础会心	baseHuiXinAdd
38	1	会心	基础会心百分比	baseHuiXinPerAdd
39	0	会心	当前会心	nowHuiXinAdd
40	1	会心	当前会心百分比	nowHuiXinPerAdd
41	0	所有武学释放概率	武学释放概率	wuXueShiFangGaiLvAdd
42	1	所有武学破坏力	武学破坏力百分比	wuXuePoHuaiLiGaiLvAdd
43	0	被攻击时化解概率	被攻击时化解概率	huaJieGaiLvAdd
44	1	化解时减少伤害	化解时减伤伤害	huaJieJianShangAdd
45	0	攻击时被化解概率	攻击时被化解概率	beiHuaJieGaiLvAdd
46	1	被化解时损失伤害	被化解时损失伤害	beiHuaJieJianShangAdd
47	1	金刚	百分比减伤	jinGangPerAdd
48	1	无序	绕过阵首攻击后排概率	wuXuPerAdd
