形象ID	性别（1男 2女)	普攻音效	普攻受伤音效
showId	sex	ptGong	ptShang
bai	1	-1	SSa
ban	2	-1	SSb
bawei	1	-1	SSa
chushengdao	2	-1	SSb
chutian	1	-1	SSa
chutian1	2	-1	SSb
chutian2	1	-1	SSa
cilangfang	2	-1	SSb
dashewan	1	-1	SSa
didala	2	-1	SSb
diyudao	1	-1	SSa
dou	2	-1	SSb
dou2	1	-1	SSa
duoyouye	2	-1	SSb
eguidao	1	-1	SSa
erwei	2	-1	SSb
feiduan	1	-1	SSa
gangshou	2	-1	SSb
guai1	1	-1	SSa
guai10	2	-1	SSb
guai2	1	-1	SSa
guai3	2	-1	SSb
guai4	1	-1	SSa
guai5	2	-1	SSb
guai6	1	-1	SSa
guai9	2	-1	SSb
guidengmanyue	1	-1	SSa
guijiao	2	-1	SSb
guitongwan	1	-1	SSa
haiyeyiluka	2	-1	SSb
huoying	1	-1	SSa
jiaodu	2	-1	SSb
junmalv	1	-1	SSa
juren	2	-1	SSb
kakaxi	1	-1	SSa
kakaxi2	2	-1	SSb
kanjiulang	1	-1	SSa
liluoke	2	-1	SSb
mingren2	1	-1	SSa
mingren3	2	-1	SSb
nailiangluwan	1	-1	SSa
nan	2	-1	SSb
ningren	1	-1	SSa
qilabi	2	-1	SSb
qiudaodingci	1	-1	SSa
quanzhongya	2	-1	SSb
renjiandao	1	-1	SSa
renjiandao1	2	-1	SSb
renzhe	1	-1	SSa
rixiangningci	2	-1	SSb
sandaihuoying	1	-1	SSa
sanwei	2	-1	SSb
shanzhongjingye	1	-1	SSa
shengdanlaoren	2	-1	SSb
shizhuang1	1	-1	SSa
shizhuang2	2	-1	SSb
shizhuang3	1	-1	SSa
shizhuang4	2	-1	SSb
shizhuang5	1	-1	SSa
shouju	2	-1	SSb
shuiiying	1	-1	SSa
sidai	2	-1	SSb
sidaileiying	1	-1	SSa
taomuzaibuzhan	2	-1	SSb
tiandao	1	-1	SSa
tiantian	2	-1	SSb
waidao	1	-1	SSa
woailuo	2	-1	SSb
woailuo2	1	-1	SSa
xiaonan2	2	-1	SSb
xiaoying	1	-1	SSa
xie	2	-1	SSb
xirihong	1	-1	SSa
xiuluodao	2	-1	SSb
xuanwojiuxinnai	1	-1	SSa
xunmao	2	-1	SSb
xuzuonenghu1	1	-1	SSa
xuzuonenghu2	2	-1	SSb
yiwei	1	-1	SSa
younvzhinai	2	-1	SSb
yuanfeiasima	1	-1	SSa
yuzhiboban	2	-1	SSb
yuzhibodaitu	1	-1	SSa
yuzhiboyou	2	-1	SSb
yuzhibozuozhu3	1	-1	SSa
zilaiye	2	-1	SSb
zuojing	1	-1	SSa
zuojinyoujin	2	-1	SSb
zuozhu	1	-1	SSa
zuozhu2	2	-1	SSb
hamaguang	1	-1	SSa
hamaji	2	-1	SSb
hamajian	1	-1	SSa
hamali	2	-1	SSb
hamalong	1	-1	SSa
hamawentai	2	-1	SSb
hamayin	1	-1	SSa
tiebihama	2	-1	SSb
siwei	1	-1	SSa
qianshoufeijian	1	-1	SSa
shicang	2	-1	SSb
guidengshuiyue	1	-1	SSa
tianpingzhongwu	1	-1	SSa
yushouxihongdou	2	-1	SSb
maji	1	-1	SSa
muyewan	1	-1	SSa
qiandaipopo	2	-1	SSb
akai	1	-1	SSa
daxuan	1	-1	SSa
wuyincundizi	1	-1	SSa
samuyi	2	-1	SSb
guidengshuiyue	1	-1	SSa
jue	1	-1	SSa
muyedizi	1	-1	SSa
shayincundizi	1	-1	SSa
xie1	1	-1	SSa
yanyincundizi	1	-1	SSa
yunyincundizi	1	-1	SSa
woailuo1	1	-1	SSa
jiuwei	1	-1	SSa
changmen	1	-1	SSa
huibishou	1	-1	SSa
sennaiyibixi	1	-1	SSa
jin	1	-1	SSa
yuzhibozhishui	1	-1	SSa
sake	1	-1	SSa
sandaiyuanfei	1	-1	SSa
xianglin	2	-1	SSb
tuosi	1	-1	SSa
jiuweimingren	1	-1	SSa
zhaomeiming	2	-1	SSb
chengnianchutian	2	-1	SSb
liudaoxianren	1	-1	SSa
sandaileiying	1	-1	SSa
erdaishuiying	1	-1	SSa
erdaituying	1	-1	SSa
honglian	2	-1	SSb
shaoniankakaxi	1	-1	SSa
fengyingwoailuo	1	-1	SSa
sidaifengying	1	-1	SSa
huiye	1	-1	SSa
dahe	1	-1	SSa
shenweikakaxi	1	-1	SSa
jinjiao	1	-1	SSa
yinjiao	1	-1	SSa
yueguangjifeng	1	-1	SSa
tuanzang	1	-1	SSa
qianshouzhujian	1	-1	SSa
mianjudaitu	1	-1	SSa
banzang	1	-1	SSa
sanchuan	1	-1	SSa
rixiangrizu	1	-1	SSa
liudaoban	1	-1	SSa
liudaodaitu	1	-1	SSa
rixianghuohua	2	-1	SSb
