控制ID	描述	类型（1.道具消耗，2.时间，3.等级，4.等级比，5.道具产出，6.不败相关参数，7.次数限制）	数值
id	desc	type	number
101	购买关卡次数消耗	1	13000001_5
112	招贤消耗物品	1	11000025_15
102	招贤消耗元宝	1	13000001_132
103	刷新经验副本消耗	1	13000001_40
104	不败_复活	1	13000001_15
105	不败_鼓舞	1	13000001_2;1
106	不败_极限鼓舞	1	13000001_65
107	十里消耗元宝	1	13000001_10
108	百里消耗元宝	1	13000001_100
109	万里消耗元宝	1	13000001_240
201	十里冷却时间	2	300
202	百里冷却时间	2	86400
203	万里冷却时间	2	172800
401	装备强化上限/掌门等级	4	3
301	签到	3	8
302	竞技	3	9
303	掠夺	3	10
304	保护纲手	3	11
305	经脉	3	11
306	高手副本	3	12
307	大蛇巢穴	3	20
502	玩家初始元宝	5	13000001_200
501	升级赠送元宝	5	13000001_5
111	重铸	1	11000012_1
601	单次声望获取参数	6	0.0007
602	总元神奖励参数	6	0.3
603	击杀奖励参数	6	0.01
604	元神保底系数	6	0.002
605	元神上限系数	6	0.15
308	开服礼包等级限制	3	4
309	重铸等级限制	3	22
311	修炼等级限制	3	12
312	不败等级限制	3	9
112	付费抽奖消耗	1	13000001_150
701	每日免费抽奖次数	7	5
606	在线人数修正基数	6	24
607	修正系数下限	6	0.5
608	修正系数上限	6	5
