编号	类名	名字	道具图标	是否能使用	概述	详细描述	品质	包裹排序	道具类型(1:普通道具；2：数值类道具；3：固定奖励礼包；4：随机奖励礼包；5：更名令及钥匙；6：装备等碎片)	可使用次数	消失条件（1 可使用次数为 0 则消失， 2 可使用次数为 0 不消失）	叠加限制	等级需求下限	使用音效	effect1	effect2	effect3（1怪物,2npc）	effect4	effect5	effect6
id	classPath	name	icon2	rightUse	gaiShu	description	quality	skillType	type	timesMax	disappearType	pileNumber	gradeBelow	useAudio	effect1	effect2	effect3	effect4	effect5	effect6
11000001	item.Item	勇者之心	yongzhezhixin	0	更改助威属性和专属弟子	更改助威属性和专属弟子	3	1;1;1	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000002	item.Item	查克拉丸	jixue	0	使用可提高修炼效果	使用可提高修炼效果	4	1;1;2	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000003	item.Item	修炼科目牌	xiulianpai	0	使用可刷新修炼内容	使用可刷新修炼内容	4	1;1;3	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000004	item.Item	挑战符	xueshu	0	消耗挑战符可挑战不败神话	消耗挑战符可挑战不败神话	4	1;1;4	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000005	item.RandomGet	金宝箱	jinbaoxiang1	1	需要金钥匙开启，会获得随机宝物，必得80000银两	需要金钥匙开启，会获得随机宝物，必得80000银两	4	1;2;1	4	1	1	9999	1	audio	-1	-1	11000008;1	-1	jinbaoxiang	13000002_80000
11000006	item.RandomGet	银宝箱	yinbaoxiang	1	需要银钥匙开启，会获得随机宝物，必得50000银两	需要银钥匙开启，会获得随机宝物，必得50000银两	3	1;3;1	4	1	1	9999	1	audio	-1	-1	11000009;1	-1	yinbaoxiang	13000002_50000
11000007	item.RandomGet	铜宝箱	tongbaoxiang	1	需要铜钥匙开启，会获得随机宝物，必得10000银两	需要铜钥匙开启，会获得随机宝物，必得10000银两	2	1;4:1	4	1	1	9999	1	audio	-1	-1	11000010;1	-1	tongbaoxiang	13000002_10000
11000008	item.Key	金钥匙	jinyaoshi	1	金钥匙可用来开启金宝箱	金钥匙可用来开启金宝箱	4	1;2;2	5	1	1	9999	1	audio	-1	-1	11000005;1	-1	jinbaoxiang	13000002_80000
11000009	item.Key	银钥匙	yinyaoshi	1	银钥匙可用来开启银宝箱	银钥匙可用来开启银宝箱	3	1;3;2	5	1	1	9999	1	audio	-1	-1	11000006;1	-1	yinbaoxiang	13000002_50000
11000010	item.Key	铜钥匙	tongyaoshi	1	铜钥匙可用来开启铜宝箱	铜钥匙可用来开启铜宝箱	2	1;4:2	5	1	1	9999	1	audio	-1	-1	11000007;1	-1	tongbaoxiang	13000002_10000
11000011	item.Item	洗髓丹	xisuidan	0	移经换脉时使用的道具	移经换脉时使用的道具	3	1;1;5	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000012	item.Item	熔炼石	ronglianshi	0	熔炼石可用来重铸装备	熔炼石可用来重铸装备	3	1;1;6	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000013	item.Item	九转传功丹	texiaochuangongdan	0	可继承散功者100%经验值还可继承修炼和经脉属性	可继承散功者100%经验值还可继承修炼和经脉属性	4	1;1;8	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000014	item.Item	特效传功丹	texiaochuangongdan	0	可继承散功者100%经验值	可继承散功者100%经验值	4	1;1;8	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000015	item.Item	普通传功丹	putongchuangongdan	0	可继承散功者80%经验值	可继承散功者80%经验值	3	1;1;9	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000016	item.Item	豆花糕	11000016	0	用豆花糕答谢高人可获双倍奖励	用豆花糕答谢高人可获双倍奖励	3	1;1;10	1	-1	-1	9999	1	audio	-1	-1	-1	-1	-1	-1
11000019	item.Item	味噌汤	11000019	0	增加50%修炼成功率	增加50%修炼成功率	4	1;1;13	1	-1	-1	9999	1	audio	10	50	-1	-1	-1	-1
