副本ID	副本名称	副本说明	前序副本ID	后序副本ID	所属关卡	体力消耗	每天挑战次数（普通；高手；宗师）	携带英雄1（阵首）	携带英雄2	携带英雄3	携带英雄4	携带英雄5	携带英雄6	携带英雄7	阵法ID	基础威望	基础武将经验	基础银两	经验奖励经验	银两奖励比例	掉落包	副本图标	战斗场景	刷新所需元宝	是否为BOSS	等级压制系数	压制等级	战斗场景音效	特殊掉落ID	特殊掉落概率（1-1000）
id	name	miaoShu	qianXuId	houXuId	guanQiaId	tiLi	ciShu	weiZhi1	weiZhi2	weiZhi3	weiZhi4	weiZhi5	weiZhi6	weiZhi7	zhenFaId	weiWang	jingYan	yinLiang	jingYanBiLi	yinLiangBiLi	INT	fuBenTuBiao	changJing	shuaXinYuanBao	boss	yaZhi	dengJiXiaXian	yinXiao	teShuDiaoLuoId	teShuDiaoLuoGaiLv
10000	九尾之战	九尾被斑控制袭击木叶村，四代将九尾封印在鸣人体内。	-1	10001	1	1	100	-1	-1	101613	-1	-1	-1	-1	0	-1	9	230	1	1	-1	dizi_101613	1	10	0	-1	1	denglu1	GD001	0
10001	淘气鸣人	新的一天开始了，木叶村看起来格外平静，淘气的鸣人在历代火影石像上乱涂乱画。	10000	10002	1	1	100	100000	-1	100000	-1	-1	-1	-1	0	-1	9	230	1	1	-1	1	2	10	0	-1	1	state	GD001	0
10002	下忍考试	伊鲁卡老师将淘气鸣人带回了教师准备考试，别出心裁的鸣人变出一个全裸美女出来，让众人大饱眼福，结果被判不及格。	10001	10003	1	1	12	101552	-1	100001	-1	-1	-1	-1	0	-1	9	310	1	1	-1	dizi_101552	3	10	0	-1	1	denglu1	GD002	0
10003	盗取卷轴	原来鸣人为了通过忍者学校的毕业试，一时鬼迷心窍被水木老师利用，偷走了禁术卷轴。协助伊鲁卡一起救回鸣人找到卷轴吧！	10002	12379	1	1	100	100447	-1	100447	-1	-1	-1	-1	0	-1	9	230	1	1	-1	2	4	10	0	-1	1	state	GD001	0
10004	叛忍水木	鸣人利用禁术卷轴中的影分身击败了水木。伊鲁卡老师准他以此通过考试毕业。	12379	10005	1	1	5	101553	100002	-1	100002	-1	-1	-1	0	-1	18	500	1	1	10004	dizi_101553	5	10	1	2	2	denglu1	GD003	0
10005	后宫之术	木叶丸开口就叫鸣人“老大”而且一直跟随鸣人身后，惠比寿要带木叶丸回去鸣人释放后宫之术。	10004	10006	2	1	100	101882	100448	-1	100448	-1	-1	-1	0	-1	18	250	1	1	-1	dizi_100003	7	10	0	-1	2	state	GD001	150
10006	木叶丸	好不容易从忍者学校拿到忍者证书的鸣人就遇到了，第三代火影的孙子“木叶丸”。	10005	10007	2	1	100	100003	100448	-1	101882	-1	-1	-1	0	-1	18	250	1	1	-1	4	6	10	0	-1	2	denglu1	GD001	150
10007	对头佐助	分班时间，小樱居然无视你直接走到了佐助身边。不能忍！啊……谁推我？	10006	10008	2	1	12	-1	100449	101881	100449	-1	-1	-1	0	-1	18	330	1	1	10007	dizi_101543	8	10	0	-1	2	state	GD002	150
10008	怪力小樱	初吻居然给了佐助！诶？怎么有杀气……小樱！你听我解释……	10007	10009	2	1	100	100450	100449	-1	100449	-1	-1	-1	0	-1	18	250	1	1	-1	5	9	10	0	-1	2	denglu1	GD001	150
10009	七班成立	居然跟死对头佐助分到了一组！不过能跟小樱一组实在是太好了。	10008	10010	2	1	100	101517	100451	100450	101543	-1	-1	-1	0	-1	18	250	1	1	-1	6	10	10	0	-1	2	state	GD001	150
10010	饭该谁吃	不能夺取铃铛就不能吃饭！而且午饭只有两份哦……	10009	10011	2	1	12	100451	-1	100450	-1	-1	101543	-1	0	-1	18	330	1	1	10010	dizi_100450	11	10	0	-1	2	denglu1	GD002	150
10011	夺取铃铛	原来合作精神才是完成任务的要义。佐助，小樱，一起上吧！	10010	10012	2	1	5	101517	-1	100447	-1	-1	100447	-1	0	-1	27	550	1	1	10011	dizi_101558	12	10	1	2	3	state	GD003	200
10012	第一个任务	终于成为了下忍，第一个C级任务是护送桥梁建筑师达兹纳先生返波之国。	10011	10013	3	1	100	100453	100453	-1	100453	-1	-1	-1	0	-1	27	285	1	1	-1	7	13	10	0	-1	3	denglu1	GD001	150
