阵法ID	阵法名	阵法描述	阵法品质	等级上限	阵首加成	阵中加成	阵尾加成	缘分弟子	缘分名	阵法缘分	缘分描述	阵法图标	阵法身价	升级经验	升级经验成长	携带经验	携带经验成长	阵法残片数量
id	name	zhenFaMiaoShu	pingZhi	dengJi	jiaCheng1	jiaCheng2	jiaCheng3	yuanFenDiZi	yuanFenName	yuanFen	yuanFengMiaoShu	icon	shenJia	zhenFaJingYan	zhenFaJingYanGrow	zhenFaXieDaiJingYan	zhenFaXieDaiJingYanGrow	canPianShuLiang
1400	结界法阵	音忍四人众阵法，利用起爆符形成的区域范围的结界，当目标进入领域就会形成剧烈爆炸。	4	6	baseNeiLiPerAdd:0.23;0.09	baseNeiLiPerAdd:0.12;0.05	baseNeiLiPerAdd:0.12;0.05	-1	-1	-1	-1	zhengfa0	334;267	400	280	136	95	6
1401	天盖法阵	用脚张开结界探测线，形成结界，能探测出隐蔽敌人的行动。可识破影分身，替身术等。	4	6	baseHpPerAdd:0.15;0.06	baseShanBiAdd:18;5	baseBaoJiAdd:18;5	-1	-1	-1	-1	zhengfa1	334;267	400	280	136	95	6
1402	四紫炎阵	四紫炎阵是左近，多由也，鬼童丸，次廊坊四人联合施展的，分别在东南西北四端张开结界，形成结界阵，四周由火炎形成的墙壁阻挡，一旦触碰就会被火炎烧伤。	4	6	baseShenFaPerAdd:0.11;0.05	baseShenFaPerAdd:0.06;0.03	baseMingZhongAdd:18;5	-1	-1	-1	-1	zhengfa2	334;267	400	280	136	95	6
1403	四赤阳阵	比“四紫炎阵”强上数十倍，要四位影级人物同时发动，由四位火影千手柱间、千手扉间、袁飞日斩、波风水门同时发动。欲用此阵封印十尾。	4	6	baseFangYuPerAdd:0.16;0.06	baseFangYuPerAdd:0.09;0.04	baseFangYuPerAdd:0.08;0.03	-1	-1	-1	-1	zhengfa3	334;267	400	280	136	95	6
1404	炎狱怃阵	蝎本体人傀儡状态下，利用火卷轴从掌心管道中喷出具有强大熔化力和温度的火焰。用核产生的查克拉就可以随心所欲控制火柱的大小。	4	6	baseFangYuPerAdd:0.16;0.06	baseShenFaPerAdd:0.09;0.03	baseFangYuPerAdd:0.08;0.03	-1	-1	-1	-1	zhengfa3	334;267	400	280	136	95	6
1405	上忍阵	临敌时多人联手，将敌人团团围住，流动如行云流水，停下重如山岳，敌人极难突围。	4	6	baseKangBaoAdd:38;10	baseBaoJiAdd:18;5	baseBaoJiAdd:18;5	-1	-1	-1	-1	zhengfa4	334;267	400	280	136	95	6
1406	四黑雾阵	配套使用的是一个木桶，以其为中心向四周跳开，同时结印，产生一个结界，力量很恐怖。	4	6	baseFangYuPerAdd:0.16;0.06	baseNeiLiPerAdd:0.12;0.05	baseNeiLiPerAdd:0.12;0.05	-1	-1	-1	-1	zhengfa5	334;267	400	280	136	95	6
1407	万蛇罗之阵	大蛇丸阵法通灵出来的无数条蛇从大蛇丸口中爬出来袭击敌人。可被称为蛇之壁的压倒性数量的蛇面前，防御或逃避都是完全没意义。	4	6	baseShanBiAdd:35;9	baseShanBiAdd:18;5	baseNeiLiPerAdd:0.12;0.05	-1	-1	-1	-1	zhengfa6	334;267	400	280	136	95	6
1408	剧蚀流砫阵	蝎本体人傀儡状态下利用水卷轴从掌心管道中喷出具有强大冲击力、腐蚀性和剧毒的水柱，用再生核产生的查克拉控制手肘转动就可以任意调节水柱的大小。	4	6	baseHpPerAdd:0.15;0.06	baseMingZhongAdd:19;5	baseShenFaPerAdd:0.06;0.02	-1	-1	-1	-1	zhengfa8	334;267	400	280	136	95	6
